作者规范,题目,text,best_similarity,六帖卷,六帖部类,六帖词条,六帖解析注文,注文计算策略
佚名,郊庙歌辞。周宗庙乐舞辞。禋顺,旨酒既献,0.81821,十一,御宴,我肴,旨酒,parallel_note_focused
李峤,马武骑挽歌二首,五日皆休沐,0.81795,十二,休假,漢律：五日一沐。,漢律吏得五日下言休息以洗沐也,weighted_channels
张祜,送杨秀才游蜀,旧俗巴渝舞,0.817598,十八,舞,賨俗巴渝之舞,《晉．禮樂志》：巴郡善歌舞，高祖愛其舞，詔樂府習之，今巴渝舞是也。,weighted_channels_with_book_title_stats
李舒,郊庙歌辞。让皇帝庙乐章。迎神,爰命有司,0.817422,一,秋,命有司嘗,嘗群神也。,weighted_channels
李纾,让皇帝庙乐章。迎神,爰命有司,0.817422,一,秋,命有司嘗,嘗群神也。,weighted_channels
韦应物,郡内闲居,腰悬竹使符,0.817344,四,印綬,竹使符,竹符五枚，長五寸。錐畫篆書，一至五，以代古之珪璋。,weighted_channels
杜甫,奉送魏六丈佑少府之交广,季子黑貂敝,0.816814,四,裘,黑貂敝,《史記》：蘇秦說相李兌，兌遺之以黑貂裘。蘇秦游秦，秦不能用，於是貂裘敝。,weighted_channels_with_book_title_stats
刘禹锡,酬郑州权舍人见寄二十韵,学堂青玉案,0.816354,四,案,青玉案,《張平子詩》曰：「美人贈我錦繡段，何以報之青玉案。」,weighted_channels_with_book_title_stats
孟浩然,洗然弟竹亭,达是酒中趣,0.816314,五,酒,酒中趣,孟嘉嗜酒，人問之，荅曰：君未知酒中趣。,weighted_channels
李白,白纻辞三首,美人一笑千黄金,0.81618,七,笑,一笑千金,,weighted_channels_untyped_fallback
李白,舞曲歌辞。白纻辞,美人一笑千黄金,0.81618,七,笑,一笑千金,,weighted_channels_untyped_fallback
贯休,问岳禅师疾,而有斯疾,0.816062,九,疾,伯牛有疾,子曰：斯人也。而有斯疾也。,weighted_channels
杨收,嘲吴人观者,若是升堂者,0.815976,三,堂,升堂,希升堂者，又曰：升我堂矣。,weighted_channels
许浑,王居士,即应生羽翼,0.815972,二十六,仙,生羽翼,,weighted_channels_untyped_fallback
权德舆,奉和新卜城南郊居得与卫右丞邻舍，因赋诗寄赠,盛德必有邻,0.815955,三,宅,必有鄰,《論語》：德不孤，必有鄰。,weighted_channels_with_book_title_stats
刘复,送王伦（一作汪伦）,四方各有志,0.815906,七,志節,子有四方之志,,weighted_channels_untyped_fallback
聂夷中,胡无人行,更愿生羽翼,0.815883,二十六,仙,生羽翼,,weighted_channels_untyped_fallback
聂夷中,相和歌辞。胡无人行,更愿生羽翼,0.815883,二十六,仙,生羽翼,,weighted_channels_untyped_fallback
元稹,说剑,剑可剸犀兕,0.815678,四,劍,剸犀,,weighted_channels_untyped_fallback
周昙,前汉门。僭号公孙述,方知在德不在险,0.815338,十六,險固,在德不在險,《史記》魏武侯曰：「美哉山河之固，此乃魏之寶也。」吳起曰：「在德不在險，昔三苗左洞庭，右彭𧋠，德義不修而禹滅之；夏桀之居，左濟河，右太菙，侯闕在其南，羊腸在其北，脩政不仁，而湯放之；殷紂之國，左孟門，右太行，常山在其北，太行經其南，不修德政，武王殺之。由此言之，在德不在險。」武侯曰：「善哉。」,weighted_channels_with_book_title_stats
赵光逢,梁郊祀乐章。庆平,帝德惟馨,0.814667,八 （凡七十九門 內二十六門附）,德,明德惟馨,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。梁郊祀乐章。庆平,帝德惟馨,0.814667,八 （凡七十九門 內二十六門附）,德,明德惟馨,,weighted_channels_untyped_fallback
罗隐,蟋蟀诗,不冠不緌,0.81413,六,嫂叔,不冠,《後漢》：馬援敬事寡嫂，不冠不入廬。,weighted_channels_with_book_title_stats
高適,宓公琴台诗三首,昔人不忍欺,0.814125,二十一,縣令,人不忍欺,宓子賤為政，人不忍欺。餘見“彊毅”門注。,weighted_channels_cross_reference
元稹,庙之神,复再拜而再祝,0.813781,七,拜揖,再拜,,weighted_channels_untyped_fallback
岑参,梁园歌，送河南王说判官,君不见梁孝王修竹园,0.813624,三十,竹,梁園,梁孝王有脩竹園。,headword_note_combined
陆龟蒙,开元寺楼看雨联句,轻明白羽扇,0.81344,四,扇,白羽扇,裴啟《語林》曰：「諸葛武侯，持白羽扇，指麾三軍。,weighted_channels_with_book_title_stats
白居易,早夏游宴,已动蒲葵扇,0.813438,八 （凡七十九門 內二十六門附）,賢,蒲葵扇,謝安風流，時多愛慕故人，罷中宿縣，還有蒲葵扇五萬，安取中者題之，京師慕效，競市價數倍。,weighted_channels
李翱,断僧通状,父母不拜,0.813436,十,父友,不拜,魏常林伯槐，年七歲。父黨造之，問伯槐曰：「伯先在否，何不拜？」林曰：「對子字，父何拜之有？」,weighted_channels
杜甫,盐井（盐井在成州长道县，有盐官故城）,君子慎止足,0.813231,七,貴,止足,《史》：蔡澤曰：「吳君白起、越大夫種，功成不去禍，至范蠡知止，足超然避世。長為陶，朱公孰見與禍至，忍不能離，疑不能決云云。應侯曰：「吾聞欲而不知止，則失其所欲也。」,weighted_channels_with_book_title_stats
李乂,高安公主挽歌二首,楼台十二重,0.81301,三,樓,十二重之制,《鮑昭詩》：鳳樓十二重。,weighted_channels_with_book_title_stats
李隆基,赐诸州刺史以题座右,讼狱必以情,0.812973,十三,推斷獄,察必以情。,小大之獄，雖不能察必以情。,weighted_channels
白居易,会昌元年春五绝句。赠举之仆射,一月三回寒食会,0.812959,一,寒食,一月寒食,《後漢》周舉遷并州刺史，太原舊俗，以介子推焚骸一月，斷火舉移書於子推廟。云寒食一月，老小不堪，今則三日而巳。,weighted_channels_cross_reference
元稹,赛神,主人不堪命,0.81274,二十四,土功,人不堪命,,weighted_channels_untyped_fallback
杜甫,阆州东楼筵，奉送十一舅往青城县，得昏字,今我送舅氏,0.812589,二,渭,送舅,《詩》：我送舅氏，曰至渭陽。,weighted_channels_with_book_title_stats
杜甫,又示宗武,试吟青玉案,0.812357,四,案,青玉案,《張平子詩》曰：「美人贈我錦繡段，何以報之青玉案。」,weighted_channels_with_book_title_stats
崔翘,奉和圣制答张说南出雀鼠谷,日月照天文,0.812034,九,書,天文,日月之文。,headword_note_combined
高適,东平路中遇大水,天灾自古有,0.811795,九,疾,天有災癘,,weighted_channels_untyped_fallback
宋之问,明河篇,倬彼昭回如练白,0.811016,一,天,倬彼昭回,,weighted_channels_untyped_fallback
李白,越中秋怀,亦可乘扁舟,0.810559,三,舟,扁舟,句踐既滅吳，范蠡乘扁舟泛五湖。,weighted_channels
杜甫,上韦左相二十韵（见素）,岂是池中物,0.810553,二十九,龍,非池中物,《吳志》：龍非池中物，雨必飛去。,weighted_channels_with_book_title_stats
李白,夏日山中,懒摇白羽扇,0.810172,四,扇,白羽扇,裴啟《語林》曰：「諸葛武侯，持白羽扇，指麾三軍。,weighted_channels_with_book_title_stats
吕温,登少陵原望秦中诸川太原王至德妙用有水术因用感叹,吾人得其宗,0.809515,六,宗族,吾宗,《傳》曰：晉吾宗也。豈害我哉！,weighted_channels_with_book_title_stats
李白,赠韦秘书子春二首,披云睹青天,0.809511,一,霧,睹青天,徐幹《中論》曰：「文王遇姜公於渭陽，執竿而釣，文王得之，若披雲見日月，如開霧睹青天。」,weighted_channels_with_book_title_stats
徐夤,逐臭苍蝇,饱食嗟来未胜饥,0.809215,二十三,人餓,嗟來之食,齊大飢，黔敖為食於路，以待餓者而食之。有餓者蒙袂輯屢，貿貿然來。黔敖左奉食，右執飲曰：「嗟來食。揚其目而視之曰：「子惟不食嗟來之食，以至於斯也。從而謝焉，終不食而死。曾子聞之曰：「微與！其嗟也可去其謝也可食。貿貿目不明貌。,weighted_channels
徐彦伯,拟古三首,含春向我鸣,0.809048,二十九,鳥,懷春向我鳴,,weighted_channels_untyped_fallback
皮日休,初夏游楞伽精舍,似入青油幕,0.809025,二十一,幕府,青油幕,,weighted_channels_untyped_fallback
刘长卿,避地江东，留别淮南使院诸公,却使他人得楚弓,0.808989,十六,弓,楚人亡弓楚人得之,,weighted_channels_untyped_fallback
李白,酬裴侍御对雨感时见赠,申包哭秦庭,0.808931,十五,乞師,哭秦庭,《左傳》：吳入楚，楚申包胥詣秦，乞師，立依庭牆而哭，日夜不絕音，水漿不入口。七日而得兵。,weighted_channels_with_book_title_stats
李群玉,始忝四座奏状闻荐蒙恩授官旋进歌诗延英宣…二十四韵,伫将告成功,0.80871,十四,功,告厥成功,,weighted_channels_untyped_fallback
许宣平,庵壁题诗,乐矣不知老,0.808212,十七,老,不知老之將至,,weighted_channels_untyped_fallback
韦应物,秋夕西斋与僧神静游,正当秋夏交,0.808127,一,伏日,秋夏之交,,weighted_channels_untyped_fallback
舒道纪,题赤松宫（今兰溪县之赤松山。王初平亦称赤松子）,人皆有兄弟,0.80801,六,兄弟,人兄,教以弟所以敬天下之為人兄也。,weighted_channels
高適,宋中十首,人皆有兄弟,0.80801,六,兄弟,人兄,教以弟所以敬天下之為人兄也。,weighted_channels
高適,酬庞十兵曹,自言生羽翼,0.808006,二十六,仙,生羽翼,,weighted_channels_untyped_fallback
张籍,送李司空赴镇襄阳,中外兼权社稷臣,0.80751,二十一,宰相,社稷臣,,weighted_channels_untyped_fallback
李颀,塞下曲,千骑黑貂裘,0.807484,四,衣服,黑貂裘,《史記》：蘇秦說趙相李兌，兌送以黑貂之裘。,weighted_channels_with_book_title_stats
白居易,哭王质夫,重有君子儒,0.807387,二十六,儒教,君子之儒,子謂子夏，曰：「汝為君子儒，無為小人儒。,weighted_channels
曹邺,去不返,九重十二门,0.807235,三,門戶,九重,《楚辭》曰：「君之門兮！九重。,weighted_channels_with_book_title_stats
白居易,寓意诗五首,何以示诚信,0.807212,十五,示信,示人以信,,weighted_channels_untyped_fallback
贯休,循吏曲上王使君,大信不信,0.807036,八 （凡七十九門 內二十六門附）,信,大信不約,,weighted_channels_untyped_fallback
白居易,江楼夜吟元九律诗，成三十韵,醴泉流出地,0.806912,二,泉源,醴泉,美泉也。水之精也。崑崙山有醴泉，華池君乘土而王，其政太平，則醴泉出湧。乘水而王，其政和平，則醴泉瀌。神靈滋液，百珍實用，則醴泉出。黃帝時，以醴泉為漿。堯之世，德茂清平，則醴泉出。夏后之時，俊乂在官，醴泉出。漢宣帝三年，醴泉流滂，枯槁榮茂禮，天不愛其道，地不愛其寶，則醴泉出也。,weighted_channels
刘长卿,颍川留别司仓李万,且知投刃皆若虚,0.806776,二十四,市,投刃皆虛,庖丁解牛者，砉然騞然，莫不中音，投刃皆虛。丁曰：臣始解牛之時，所見非牛。三年之後未嘗見全牛也。今臣之刀，十九年所解千牛，而刃無肯綮，若初發硎，以其游刃必有餘地。,weighted_channels
贯休,赠方干,白日升天路,0.80624,二十六,仙,白日升天,,weighted_channels_untyped_fallback
李白,月下独酌四首,但得酒中趣,0.8062,五,酒,酒中趣,孟嘉嗜酒，人問之，荅曰：君未知酒中趣。,weighted_channels
徐夤,喜雨上主人尚书,雨我公田兆岁丰,0.80587,二十三,公田,雨我公田,遂及我私。《詩》。,weighted_channels_with_book_title_stats
白居易,官俸初罢，亲故见忧，以诗谕之,未至食藜藿,0.805846,五,食,藜藿,《七發》曰：予甘藜藿，未暇此食。,weighted_channels_with_book_title_stats
拾得,诗,且遭豺狼逐,0.805466,二十九,羊,豺狼逐,《漢書》：譬如使豺狼逐群羊，無畏驅羊攻虎。,weighted_channels_with_book_title_stats
储光羲,田家杂兴八首,秋至菊花酒,0.805378,三十,菊,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,weighted_channels
白居易,丘中有一士二首（命首句为题）,不忍相欺侵,0.805278,二十一,縣令,人不忍欺,宓子賤為政，人不忍欺。餘見“彊毅”門注。,weighted_channels_cross_reference
白居易,喜雨,人各有所私,0.80518,八 （凡七十九門 內二十六門附）,性情,人各有心,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。晋昭德成功舞歌。武功舞歌二首,既已櫜弓矢,0.805092,二十五,射,弓矢既調,,weighted_channels_untyped_fallback
李白,南奔书怀（一作自丹阳南奔道中作。萧士赟云是伪作）,传觞青玉案,0.804832,四,案,青玉案,《張平子詩》曰：「美人贈我錦繡段，何以報之青玉案。」,weighted_channels_with_book_title_stats
李白,笑歌行（以下二首，苏轼云是伪作）,张仪所以只掉三寸舌,0.804346,九,口齒,張儀掉三寸舌。,,weighted_channels_untyped_fallback
卢仝,感古四首,所患患不均,0.804,二十二,役使不均,不患寡而患不均,《語》。,book_title_stats_only_weighted_fallback
贯休,山中作,不论才不才,0.803623,六,父子,才不才,亦各言其子也。,weighted_channels
许棠,秋日归旧山,行人不愿看,0.803451,十五,行人,行人不使。,今兩國治戎行人不使不可謂整,weighted_channels
温庭筠,中书令裴公挽歌词二首,萧何社稷臣,0.803389,二十一,宰相,社稷臣,,weighted_channels_untyped_fallback
徐铉,茱萸诗,长和菊花酒,0.803217,三十,菊,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,weighted_channels
吴融,题画柏,未知陵上柏,0.802992,三十,松柏,青陵上柏,,weighted_channels_untyped_fallback
白居易,骠国乐－欲王化之先迩后远也（贞元十七年来献之）,至尊德广之所及,0.802944,八 （凡七十九門 內二十六門附）,德,德廣所及,,weighted_channels_untyped_fallback
李嘉祐,春日长安送从弟尉吴县,好是神仙尉,0.802906,二十一,縣尉,仙吏,仙尉。,parallel_note_focused
杜荀鹤,顾云侍御出二子请诗因遗一绝,想得月中仙桂树,0.802898,三十,桂,月中有仙桂樹一枝,晉郤詵對武帝曰：「臣對策為天下第一，猶桂林一枝也。,weighted_channels
王昌龄,塞下曲四首,出塞入塞寒,0.802578,十八,笳,出塞入塞,胡笳者，張博望入西域，傳其法於西京，唯得《摩訶兜勤》一曲。李延年因胡曲，更造新聲二十八解，以為武樂，有《出塞》、《入塞》、《楊柳》等十曲。,weighted_channels_with_book_title_stats
李颀,送皇甫曾游襄阳山水兼谒韦太守,持衡吏部郎,0.80237,二十一,吏部,持衡,,weighted_channels_untyped_fallback
贺兰进明,行路难五首,叹息青青陵上柏,0.802245,三十,松柏,青陵上柏,,weighted_channels_untyped_fallback
张蠙,送成州牧,自古有儒流,0.802154,二十六,儒教,儒流,,weighted_channels_untyped_fallback
程长文,狱中书情上使君（长文为强暴所诬系狱，献诗雪冤）,我心匪石情难转,0.801931,八 （凡七十九門 內二十六門附）,節操,我心匪石,不可轉也,weighted_channels
刘长卿,九日登李明府北楼,九日登高望,0.801896,一,九月九日,登高,《續齊諧記》：汝南桓景隨費長房遊學，長房謂曰：「九月九日，汝家當有災異，急令家人縫絳囊，盛茱萸，繫臂上，登高飲菊花酒，此禍乃消，景從其言，還家登山，夕還見雞犬，一時暴死。今人九月九日登高是其事。,weighted_channels_with_book_title_stats
白居易,饱食闲坐,闲坐不下堂,0.80189,三,堂,不下堂,天子不下堂而見諸侯。,weighted_channels
袁朗,和洗掾登城南坂望京邑,飞雪千里回,0.801805,一,雪,飛雪千里,《楚辭》。,book_title_stats_only_weighted_fallback
张九龄,奉和圣制途经华山,来此告成功,0.801738,十四,功,告厥成功,,weighted_channels_untyped_fallback
高適,别孙訢,白马黑貂裘,0.801721,四,衣服,黑貂裘,《史記》：蘇秦說趙相李兌，兌送以黑貂之裘。,weighted_channels_with_book_title_stats
高蟾,道中有感,一裘三十年,0.801496,八 （凡七十九門 內二十六門附）,儉,一狐裘三十年,《晏子》。,book_title_stats_only_weighted_fallback
崔禹锡,奉和圣制送张说巡边,兼以正封疆,0.801294,三,封疆,諸侯正封,封疆有定分也。,weighted_channels
薛能,又和留山鸡,由来不是池中物,0.801118,二十九,龍,非池中物,《吳志》：龍非池中物，雨必飛去。,weighted_channels_with_book_title_stats
王维,奉和圣制幸玉真公主山庄因题石壁十韵之作应制,泥灶化丹砂,0.800989,二十六,丹藥,化丹砂,李少君曰：「祠竈丹砂，可化為黃金。,weighted_channels
李白,忆旧游，寄谯郡元参军,言亦不可尽,0.800832,九,言語,似不能言,,weighted_channels_untyped_fallback
董思恭,咏日,更也人皆仰,0.800723,一,日,皆仰,人皆仰之。,weighted_channels
水神,霅溪夜宴诗（诸神命丽玉唱公无渡河歌）,公无渡河兮公竟渡,0.800535,二,津渡,公無渡河,崔豹《古今注》：津吏霍子高見白首，狂夫被髮，提壺亂流而渡，其妻止之，不及，遂溺死。妻乃援箜篌，作《公無渡河》之曲，歌終亦投河而死。,weighted_channels_with_book_title_stats
王睿,公无渡河,公无渡河兮公竟渡,0.800535,二,津渡,公無渡河,崔豹《古今注》：津吏霍子高見白首，狂夫被髮，提壺亂流而渡，其妻止之，不及，遂溺死。妻乃援箜篌，作《公無渡河》之曲，歌終亦投河而死。,weighted_channels_with_book_title_stats
张籍,董公诗,朝廷有大事,0.800477,十五,出征,君命大事。,大事，謂軍事。,weighted_channels
章碣,对月,别有洞天三十六,0.800349,二,洞,三十六,《茅君內傳》：大天之內，有玄中之洞三十六所。第一王屋山之洞：周迴萬里，名曰小有清虛之天。第二委羽之洞：周迴萬里，名曰大有空明之天。第三西域土山之谷：周迴三千里，名曰太玄，摠真之天。第四西方玄三山之谷：周迴千里名曰三玄，極真之天。第五青城之洞：周迴三千里，名曰寶仙，九室之天。第六赤城丹山之洞：周迴三百里，名曰上酒平之天。第七羅浮山之洞：周五百里，名曰朱明，曜真之天。第八曲向山之洞：周一百五十里，名曰金壇華陽之天。第九林屋山之洞：周四百里，名曰左神幽墟之天。第十括蒼之洞：周迴三百里，名曰成德隱玄之天。凡此十洞，皆仙人靈真之陰天，內宮也，其八海之中，崑崙、蓬萊、方丈、瀛洲、滄波、白山，八停之神山，山皆有洞宮，或有方千里、五百里，非名小天之例，不在三十六天之洞數也。五嶽及名山洞室，或三十里、二十里、十里，難並合神仙之言，又非小天之數，嶽洞萬里，其岱宗山之洞，周三千里，名曰三宮空洞之天。羅酆山之洞：周一萬五千里，名曰北帝死生之天，皆死神所治五帝之官考，謫之府也。鬼神所冶，又有二十八小洞，天之陰宮，或地官所在者，不能一一記其洞山之名，略摽其大者耳。其餘有六洞：天陰宮山，皆夷狄異類，鬼所不治，犬戎鳥獸蠻裸，夷之種也。匈奴之天下：北戎之善山，南越之拘屢是也。句曲山洞宮之中：本有仙人郭四，朝者治其宮，亦司三官。領羅酆師。晨候四朝，燕人也。兄弟四人得道，四朝是長兄也。,weighted_channels_with_book_title_stats
贯休,怀张为、周朴,心与人不同,0.800312,八 （凡七十九門 內二十六門附）,性情,人各有心,,weighted_channels_untyped_fallback
陆龟蒙,袭美先辈以龟蒙所献五百言既蒙见和复示荣唱…用伸酬谢,纵有月旦评,0.800289,十二,藻鑑,月旦評,後漢許劭與兄靖俱有高名共覈論鄉黨人物每月更品題由是汝南俗有月旦評也,weighted_channels
刘长卿,奉陪使君西庭送淮西魏判官（得山字）,多在八公山,0.800237,一,三月三,八公山,宋武帝三月三日，登八公山。劉安故臺曰：「城郭如匹帛之，繞叢花也。」,weighted_channels
张贲,和袭美寒夜见访,仿效从它折角巾,0.799777,八 （凡七十九門 內二十六門附）,賢,折角巾,郭林宗行，遇雨，巾一角墊士，人故折其巾角以效之。,weighted_channels
陶翰,赠房侍御（时房公在新安）,君其振羽翮,0.799606,二十九,鷺,值其振羽,《詩》：振鷺于飛，坎其擊鼓。宛丘之下，無冬無夏，值其振羽，《詩》所以剌陳幽王，游蕩無度。名爾雅一名，春鉏也。,weighted_channels_with_book_title_stats
李白,杂曲歌辞。行路难三首,曳裾王门不称情,0.799422,十,賔主,曳裾王門,鄒陽上書曰：臣飾庸陋，則何王之門，不可曳長裾乎？,weighted_channels_with_book_title_stats
李白,行路难三首,曳裾王门不称情,0.799422,十,賔主,曳裾王門,鄒陽上書曰：臣飾庸陋，則何王之門，不可曳長裾乎？,weighted_channels_with_book_title_stats
萧颖士,菊荣一篇五章,彼美淑人,0.79934,六,美人,彼美,淑姬。見上注。,weighted_channels_cross_reference
贾岛,马戴居华山因寄,孤高不可言,0.799146,二十九,鶴,孤高,,weighted_channels_untyped_fallback
杜甫,舟中苦热遣怀，奉呈阳中丞通简台省诸公,吾非丈夫特,0.799052,八 （凡七十九門 內二十六門附）,勇,非夫,非丈夫也,weighted_channels
孟浩然,自浔阳泛舟经明海,因之泛五湖,0.799025,二,湖,其浸五湖,《周禮》：楊州其浸五湖。注云：太湖方五百里，故曰五湖。,weighted_channels_with_book_title_stats
元稹,有鸟二十章（庚寅）,啄腐吞腥笑雕鹗,0.798938,二十六,養生,啄腐吞腥,,weighted_channels_untyped_fallback
杜甫,七月三日亭午已后较热退晚加小凉稳睡…呈元二十一曹长,本是池中物,0.798746,二十九,龍,非池中物,《吳志》：龍非池中物，雨必飛去。,weighted_channels_with_book_title_stats
上官仪,从驾闾山咏马,徒嗟塞上翁,0.798693,二十九,馬,塞上翁,失馬人弔曰：「未必不為福。俄爾馬引塞外馬歸。,weighted_channels
元结,二风诗。治风诗五篇。至劳,不盈不延,0.798462,三,倉廩,不盈,《管子》曰：「不務地利，則倉不盈。」,weighted_channels_with_book_title_stats
杜甫,丹青引，赠曹将军霸,富贵于我如浮云,0.797966,八 （凡七十九門 內二十六門附）,義,不義,而富，且貴於我如浮雲。,headword_note_combined
白居易,赠友五首,量入以为出,0.797948,三,倉廩,量入,《禮》曰：「五穀皆入，必量於歲之杪。,weighted_channels_with_book_title_stats
韩翃,家兄自山南罢归献诗叙事,唯奉一囊钱,0.797826,四,囊橐,一囊錢,後漢《趙壹詩》曰：「文籍徒滿腹，不如一囊錢。」,weighted_channels_with_book_title_stats
刘长卿,寻洪尊师不遇,何处化丹砂,0.797804,二十六,丹藥,化丹砂,李少君曰：「祠竈丹砂，可化為黃金。,weighted_channels
李德裕,近于伊川卜山居将命者画图而至欣然有感…青田胎化鹤,惭逾六百石,0.797556,七,貴,不過六百石,《後漢》：邴渙兄曼容亦飬志，自修為官，不過六百石，輒自免去。,weighted_channels_with_book_title_stats
唐彦谦,和陶渊明贫士诗七首,人生各有志,0.797548,八 （凡七十九門 內二十六門附）,性情,人各有心,,weighted_channels_untyped_fallback
孟云卿,今别离（一作别离曲）,人生各有志,0.797548,八 （凡七十九門 內二十六門附）,性情,人各有心,,weighted_channels_untyped_fallback
皮日休,太湖诗。入林屋洞,窃之不加刑,0.797338,二十八,竊盜,不竊,子曰：苟子之不欲，雖賞之不竊。,weighted_channels
皎然,浮云三章,集于扶桑,0.797204,三十,桑,扶桑,,weighted_channels_untyped_fallback
贯休,大蜀皇帝寿春节进尧铭舜颂二首。尧铭,承天眷命,0.797149,二十,郊天,皇天眷命,,weighted_channels_untyped_fallback
权德舆,唐开州文编远寄新赋累惠良药咏叹仰佩…聊书还答,君为太史氏,0.796954,二十一,司天,太史,《周官》太史掌建邦之六典。,weighted_channels_with_book_title_stats
杜甫,牵牛织女,戒之在至公,0.79682,七,冨,戒之在得,,weighted_channels_untyped_fallback
李白,送张秀才谒高中丞,玉石俱烧焚,0.796491,二,石,與石俱焚,《書》云：「火炎岷岡，玉石俱焚。」,weighted_channels_with_book_title_stats
贯休,商山道者,五千言外得玄音,0.796324,二十六,道士,五千玄言,,weighted_channels_untyped_fallback
白居易,小池二首,坐把蒲葵扇,0.796148,八 （凡七十九門 內二十六門附）,賢,蒲葵扇,謝安風流，時多愛慕故人，罷中宿縣，還有蒲葵扇五萬，安取中者題之，京師慕效，競市價數倍。,weighted_channels
元稹,江边四十韵（此后并江陵时作）,豺狼逐野麃,0.795999,二十九,羊,豺狼逐,《漢書》：譬如使豺狼逐群羊，無畏驅羊攻虎。,weighted_channels_with_book_title_stats
尚颜,怀智栖上人,不同游子暮何之,0.795626,十,行旅,遊子暮何之,《李陵詩》。,weighted_channels_with_book_title_stats
杨凝式,雪晴,春来冰未泮,0.79549,一,冰,未泮,迨冰未泮。,weighted_channels
元稹,江陵三梦,纵我生羽翼,0.795482,二十六,仙,生羽翼,,weighted_channels_untyped_fallback
张九龄,和姚令公从幸温汤喜雪,千金狐白裘,0.795478,四,裘,千金狐腋,王褒《講德論》曰：「千金之裘，非一狐之腋。,weighted_channels_with_book_title_stats
刘太真,顾十二况左迁过韦苏州房杭州韦睦州…以继三君子之风焉,远思不可收,0.79526,十,相思,我思不遠,,weighted_channels_untyped_fallback
孟云卿,杂曲歌辞。生别离,但恐不出门,0.795241,十二,休假,不欲出。,文帝幸鄧通，通亦愿謹不外交。雖賜洗沐，不欲出也。,weighted_channels
舒元舆,八月五日中部官舍读唐历天宝已来追怆故事,神仙不可求,0.79497,二十六,求仙,神仙,,weighted_channels_untyped_fallback
杨炯,和酬虢州李司法,菊花宜泛酒,0.794711,三十,菊,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,weighted_channels
白居易,和微之诗二十三首。和李势女,人各有一死,0.794316,十九,死,死生有命,,weighted_channels_untyped_fallback
韦应物,雪中闻李儋过门不访，聊以寄赠,已想人如玉,0.794144,六,美人,如玉,有佳人，美者顔如玉,weighted_channels_cross_reference
张籍,祭退之,坐令其子拜,0.793992,十,擇交,拜其子,《後漢》：侯霸欲友王丹，霸子見丹，下車拜丹，荅拜。霸子曰：「大人方願交歡，奈何？拜小子。丹曰：「君房有是言。」丹未之許也。,weighted_channels_with_book_title_stats
孟郊,吊元鲁山,造次不可升,0.793854,一,天,不可階而升,,weighted_channels_untyped_fallback
贯休,上缙云段使君,清畏人知人尽知,0.793643,十二,清亷,畏人知,胡質為徐州子威自京師歸省驅驢毎舍於驢取樵見父十餘日告歸父賜絹一匹威跪曰大人清亷安得此絹質曰吾俸祿之餘後威為徐州晉武帝問卿清何如父清對曰臣不如父父清畏人知臣清畏人不知,weighted_channels
权德舆,送张曹长工部大夫奉使西番,奉使小司空,0.793601,二十一,工部,侍郎,小司空,headword_note_combined
白居易,郊陶潜体诗十六首,有功不自伐,0.79332,十二,公政,不伐功,魏陳羣言劉兾於太祖太祖赦之冀徳羣羣曰議刑為國非為私且明主之意吾何知其弘博不伐功如此也,weighted_channels
白居易,答卜者,问我决疑不,0.792964,九,相,决疑,《歸田賦》曰：感蔡子之慷慨，從唐生以決疑。」,weighted_channels_with_book_title_stats
戴叔伦,送汶水王明府,知君不下堂,0.792859,三,堂,不下堂,天子不下堂而見諸侯。,weighted_channels
方干,送汶上王明府之任,知君不下堂,0.792859,三,堂,不下堂,天子不下堂而見諸侯。,weighted_channels
周昙,春秋战国门。再吟,曲突徙薪不谓贤,0.792662,一,火,曲突徙薪,無恩澤焦頭爛額為上客，漢時，人有上書論徐福先言霍氏也。,weighted_channels
皎然,郑容全成蛟形木机歌,还应不是池中物,0.79251,二十九,龍,非池中物,《吳志》：龍非池中物，雨必飛去。,weighted_channels_with_book_title_stats
萧颖士,江有枫一篇十章,君子居焉,0.792501,七,貧,君子居,《易》以俟命。,book_title_stats_only_weighted_fallback
杜甫,遣兴五首,嵇康不得死,0.79238,二十七,神異,嵇康受廣陵散,嵇康夜宿華亭，彈琴。夜半有客詣之。共談音律，辭致清辯。謂《廣陵散》，調絕倫，遂授康。仍誓不得傳，康撰高士傳，云云。,weighted_channels_with_book_title_stats
郎士元,题刘相公三湘图,飞鸟不知倦,0.792346,二十九,鳥,鳥倦飛而知還,,weighted_channels_untyped_fallback
朱庆馀,送邵州林使君,州人应为立生祠,0.792311,二十一,刺史,立祠,《晉》：祖逖為豫州，行恩德。及卒，人為立祠。,weighted_channels_with_book_title_stats
曹邺,秦后作,大道不居谦,0.7921,二十六,道教,大道不器,,weighted_channels_untyped_fallback
李峤,凤,五色成文章,0.792063,四,筆硯,五色,江淹夢授五色筆，由是文藻由新。,weighted_channels
皮日休,太湖诗。以毛公泉一瓶献上谏议因寄,服之生羽翼,0.792002,二十六,仙,生羽翼,,weighted_channels_untyped_fallback
