unit_id,granularity,poem_id,source_poetry_id,poet_id,作者,作者规范,题目,source,line_index,line_length_guess,text,embedding_text,embedding_chars,candidate_ngram,candidate_source,row_id,best_similarity,六帖卷,六帖部类,六帖部类序号,六帖部类附名,六帖词条,六帖注文,六帖解析注文,注文類型规范,注文计算策略,line_high_count_in_poem
2694,poem_from_line,11802,11807,744,严维,严维,送少微上人东南游,Ethan-do0707/tang_poetry,7,5,平生未感恩,平生未感恩,5,平生未,leishu_3gram,11622,0.653322,八 （凡七十九門 內二十六門附）,節操,三十三,,不受報恩金,雷義，字仲公。濟人死罪以金二斤謝之，義不受人，伺義不在，默投承塵上義，葺屋得之其人，已死無所還，乃以金送縣。,雷義，字仲公。濟人死罪以金二斤謝之，義不受人，伺義不在，默投承塵上義，葺屋得之其人，已死無所還，乃以金送縣。,解释文意,weighted_channels,0
2695,poem_from_line,11817,11822,744,严维,严维,状江南。季春（共十二咏，丘丹等同赋，各见本集）,Ethan-do0707/tang_poetry,0,5,江南季春天,江南季春天,5,季春天,leishu_3gram,1410,0.598453,一,春,二十八,三月,暮春,梁元《纂要》曰：三月暮春，亦曰季春，晚春，大春，餘春。,梁元《纂要》曰：三月暮春，亦曰季春，晚春，大春，餘春。,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
2696,poem_from_line,11820,11825,153,顾况,顾况,上古之什补亡训传十三章。上古一章,Ethan-do0707/tang_poetry,6,5,惟彼甫田,惟彼甫田,4,彼甫田,leishu_3gram,28152,0.757986,二十三,田疇,十二,,甫田,《詩》：倬彼甫田，歲取十千。,《詩》：倬彼甫田，歲取十千。,出处典籍；出处原文,weighted_channels_with_book_title_stats,1
2697,poem_from_line,11821,11826,153,顾况,顾况,上古之什补亡训传十三章。左车二章,Ethan-do0707/tang_poetry,8,7,而作是诗,而作是诗,4,而作是,leishu_3gram,30695,0.745658,二十六,《詩》,三十五,,興於詩,修身當先學，詩也。,修身當先學，詩也。,解释文意,weighted_channels,1
2698,poem_from_line,11823,11828,153,顾况,顾况,上古之什补亡训传十三章。持斧一章,Ethan-do0707/tang_poetry,3,5,孝子徘徊而作是诗,孝子徘徊而作是诗,8,子徘徊,leishu_3gram,24565,0.653738,十九,葬,三十五,薄葬,孝經,《晉》：皇甫謐令氣絕時，便以幅巾，籧篨，《孝經》一卷，亦不忘孝道。,《晉》：皇甫謐令氣絕時，便以幅巾，籧篨，《孝經》一卷，亦不忘孝道。,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
2699,poem_from_line,11824,11829,153,顾况,顾况,上古之什补亡训传十三章。十月之郊一章,Ethan-do0707/tang_poetry,62,5,梦人占之,梦人占之,4,人占之,leishu_3gram,10145,0.824515,七,夢,二十一,占夢,夢中占夢,《莊子》：長吾子謂瞿鵲曰：夢飲酒者，旦而哭泣，夢哭泣者，旦而田獵，方其夢也。不知其夢中之占又夢焉。無異寤也。固乃非常人之所知。,《莊子》：長吾子謂瞿鵲曰：夢飲酒者，旦而哭泣，夢哭泣者，旦而田獵，方其夢也。不知其夢中之占又夢焉。無異寤也。固乃非常人之所知。,出处典籍；出处原文；解释文意,weighted_channels_with_book_title_stats,4
2700,poem_from_line,11825,11830,153,顾况,顾况,上古之什补亡训传十三章。燕于巢一章,Ethan-do0707/tang_poetry,3,7,）燕燕于巢,）燕燕于巢,5,燕燕于,leishu_3gram,33252,0.748138,二十九,鷰,十七,,燕燕于飛,差池其羽*，上下其音。,差池其羽*，上下其音。,解释文意,weighted_channels,1
2701,poem_from_line,11826,11831,153,顾况,顾况,上古之什补亡训传十三章。苏方一章,Ethan-do0707/tang_poetry,11,7,相唐虞之维百兮,相唐虞之维百兮,7,唐虞之,leishu_3gram,2478,0.645069,二,虞衡,二十二,,虞之,《公羊》：山林藪澤，與人共虞之，非正也。,《公羊》：山林藪澤，與人共虞之，非正也。,出处典籍；出处原文；解释文意,weighted_channels_with_book_title_stats,0
2702,poem_from_line,11827,11832,153,顾况,顾况,上古之什补亡训传十三章。陵霜之华一章,Ethan-do0707/tang_poetry,20,7,五星如珠,五星如珠,4,五星如,leishu_3gram,418,0.869718,一,星,五,,五星如連珠,,,,weighted_channels_untyped_fallback,1
2703,poem_from_line,11828,11833,153,顾况,顾况,上古之什补亡训传十三章。囝一章,Ethan-do0707/tang_poetry,12,5,彼受其福,彼受其福,4,受其福,leishu_3gram,16923,0.663888,十二,俸禄,四十九,,營其寵祿。,,,,weighted_channels_untyped_fallback,0
2704,poem_from_line,11829,11834,153,顾况,顾况,上古之什补亡训传十三章。我行自东一章,Ethan-do0707/tang_poetry,16,5,何道不行兮,何道不行兮,5,道不行,leishu_3gram,4099,0.740545,三,道路,五,,道而不徑,《禮》：言孝子慎身。,《禮》：言孝子慎身。,出处典籍；出处原文；解释文意,weighted_channels_with_book_title_stats,0
2705,poem_from_line,11832,11837,153,顾况,顾况,游子吟,Ethan-do0707/tang_poetry,19,7,北斗不可斟,北斗不可斟,5,斗不可,leishu_3gram,444,0.705618,一,星,五,,維北有斗不可以挹酒漿,,,,weighted_channels_untyped_fallback,0
2706,poem_from_line,11835,11840,153,顾况,顾况,春游曲二首,Ethan-do0707/tang_poetry,1,5,倡女蒲葵扇,倡女蒲葵扇,5,蒲葵扇,leishu_3gram,11496,0.788044,八 （凡七十九門 內二十六門附）,賢,二十九,慕賢,蒲葵扇,謝安風流，時多愛慕故人，罷中宿縣，還有蒲葵扇五萬，安取中者題之，京師慕效，競市價數倍。,謝安風流，時多愛慕故人，罷中宿縣，還有蒲葵扇五萬，安取中者題之，京師慕效，競市價數倍。,出处原文,weighted_channels,1
2707,poem_from_line,11836,11841,153,顾况,顾况,从军行二首,Ethan-do0707/tang_poetry,26,5,不有封侯相,不有封侯相,5,有封侯,leishu_3gram,13171,0.75778,九,相,二十二,吉相,奴有侯相,衛青至甘泉居至有鉗徒相青，官至封侯，青曰：「人之奴得無笞罵足矣。安敢望封侯？」,衛青至甘泉居至有鉗徒相青，官至封侯，青曰：「人之奴得無笞罵足矣。安敢望封侯？」,出处原文,weighted_channels,1
2708,poem_from_line,11839,11844,153,顾况,顾况,严公钓台作,Ethan-do0707/tang_poetry,9,5,升降不同朝,升降不同朝,5,升降不,leishu_3gram,25889,0.676289,二十一,敘官,一,,有位於朝,,,,weighted_channels_untyped_fallback,0
