granularity,unit_id,编号,题目,作年,similarity,部类,文本
line,13871,0842,和武相公感韋令公舊池孔雀,815,0.718750,烏,放歸飛不得
line,1856,0085,贈友五首其一,815,0.718262,險固,一年十二月
line,6324,0274,題潯陽樓,815,0.718262,勤學,有以知其然
line,14164,0894,讀李杜詩集因題卷後,815,0.717773,教化,不得高官職
line,9611,0488,仙娥峰下作,815,0.717285,老,還隨衆人老
line,9630,0491,寄微之三首其一,815,0.717285,終南山,有山萬丈高
line,1863,0085,贈友五首其一,815,0.714844,父母疾,生靈受其病
line,6183,0265,昭國閑居,815,0.714844,婚姻,勿嫌祿俸薄
line,13556,0804,酬盧秘書二十韻,815,0.714844,雷,春驚震蟄雷
line,6262,0269,題玉泉寺,815,0.713867,道教,清淨兩無塵
line,1872,0085,贈友五首其一,815,0.713379,善誘,誰能救其失
line,9550,0484,送春,815,0.713379,老,唯有老到來
line,6655,0295,詠意,816,0.843750,百工,巧勞智憂愁
line,14774,0943,送客之湖南,816,0.813477,猿,峽猿哀怨過三聲
line,6673,0295,詠意,816,0.783203,舟,浩浩如虛舟
line,31895,2692,送毛仙翁,816,0.775879,雪,肌膚冰雪瑩
line,31901,2692,送毛仙翁,816,0.770508,仙,幾見桑海變
line,6656,0295,詠意,816,0.768555,父子,不如無能者
line,9744,0501,漸老,816,0.765137,造化,形質屬天地
line,6666,0295,詠意,816,0.764160,隠逸,此外即閑放
line,6593,0291,歲暮,816,0.762207,元日,亦從歲月除
line,14688,0931,風雨中尋李十一因題船上,816,0.761230,舟,扁舟在水濱
line,9710,0499,贈别崔五,816,0.760254,負擔,勞者念息肩
line,9737,0501,漸老,816,0.756348,老,不覺年齒暮
line,14806,0946,四十五,816,0.755859,酒,粗豪酒放狂
line,8850,0439,新秋,816,0.755371,長大人,緜緜自此長
line,8858,0441,秋江送客,816,0.754395,怨棄,此地亦離羣
line,6546,0287,睡起晏坐,816,0.753906,貴,亦名不用處
line,14828,0949,尋王道士藥堂因有題贈,816,0.753418,丹藥,欲乞西山五色丸
line,6669,0295,詠意,816,0.750000,風流,秋上庾公樓
line,14632,0925,憶微之傷仲遠,816,0.750000,貶黜,猶自滯長沙
line,9758,0504,寄行簡,816,0.749023,眉,鬱鬱眉多斂
line,6393,0276,北亭,816,0.747070,酒,時傾一杯酒
line,6529,0286,春寢,816,0.746582,月,是時正月晦
line,8867,0442,感逝寄遠,816,0.743164,死,逝者不復見
line,10994,0579,江南遇天寶樂叟,816,0.741211,皇后,是時天下太平久
line,14719,0935,題元十八谿居,816,0.741211,鶴,聲來枕上千年鶴
line,14523,0911,櫻桃花下歎白髮,816,0.740723,衣服,如雪復如絲
line,9771,0504,寄行簡,816,0.739746,人餓,飢人多夢飡
line,6675,0295,詠意,816,0.738281,恐懼,苦在心危憂
line,8861,0441,秋江送客,816,0.737793,酒,不醉潯陽酒
line,14770,0941,江樓早秋,816,0.737305,吏久從政,官滿更何之
line,6573,0289,春遊二林寺,816,0.735840,敘官,官散無牽迫
line,31918,2692,送毛仙翁,816,0.735352,鸞,徘徊私自憐
line,6684,0296,食笋,816,0.734375,卜筮,置之炊甑中
line,11564,0599,琵琶引,816,0.733887,盤,大珠小珠落玉盤
line,11536,0599,琵琶引,816,0.732910,歌,因爲長句歌以贈之
line,14542,0915,晚春登大雲寺南樓贈常禪師,816,0.732910,樓,登樓意若何
line,31917,2692,送毛仙翁,816,0.732422,行旅,羈旅坐多感
line,6396,0276,北亭,816,0.731934,烏,目送歸飛翮
line,6405,0277,汎湓水,816,0.731445,濟,湓水從東來
line,14638,0927,霖雨苦多江湖暴漲塊然獨望因題北亭,816,0.730957,雨,無如苦雨何
line,14729,0936,晚出西郊,816,0.729492,老,老來何所用
line,6664,0295,詠意,816,0.729004,枕,朝餐夕安寢
line,14752,0940,百花亭,816,0.729004,風,凉風八月初
line,6446,0278,答故人,816,0.728516,宅,所得亦已多
line,6479,0280,宿簡寂觀,816,0.728516,食,何以療夜飢
line,6524,0285,早春,816,0.728516,言語,欲與何人言
line,31904,2692,送毛仙翁,816,0.728516,嵩山,所遊五岳巔
line,6488,0281,讀謝靈運詩,816,0.727539,對見,須有所洩處
line,14635,0926,過鄭處士,816,0.727051,乞假,故來不是求他事
line,11538,0599,琵琶引,816,0.726562,琵琶,命曰《琵琶行》
line,14528,0913,移山櫻桃,816,0.726562,官闕惡,亦知官舍非吾宅
line,14824,0949,尋王道士藥堂因有題贈,816,0.724609,宮觀,步步尋花到杏壇
line,10992,0579,江南遇天寶樂叟,816,0.724121,琵琶,能彈琵琶和法曲
line,6497,0281,讀謝靈運詩,816,0.723633,知音,因知康樂作
line,6671,0295,詠意,816,0.723145,馬,或飲茶一甌
line,31928,2692,送毛仙翁,816,0.723145,居喪過哀,得喪亦都捐
line,9708,0499,贈别崔五,816,0.722168,狼,孰云當大路
line,14485,0905,庾樓曉望,816,0.722168,風流,三百年來庾樓上
line,6676,0295,詠意,816,0.721680,貧,貧賤亦有樂
line,14646,0927,霖雨苦多江湖暴漲塊然獨望因題北亭,816,0.721680,海,風帆蹵白波
line,14759,0941,江樓早秋,816,0.721191,美婦人,南國雖多熱
line,11524,0599,琵琶引,816,0.720703,琵琶,嘗學琵琶於穆﹑曹二善才
line,6444,0278,答故人,816,0.718750,九卿,六命三登科
line,6531,0286,春寢,816,0.718750,手,爛熳不能休
line,14712,0934,秋熱,816,0.717285,秋,暑氣常多秋氣微
line,14801,0945,尋李道士山居兼呈元明府,816,0.716797,黜辱,飽諳榮辱事
line,31913,2692,送毛仙翁,816,0.716797,父子,惟余負憂譴
line,8880,0442,感逝寄遠,816,0.716309,鶂,開眼笑相視
line,9759,0504,寄行簡,816,0.715820,言語,默默口寡言
line,14701,0933,寄蘄州簟與元九因題六韻,816,0.715820,織績,織成雙入簟
line,6381,0276,北亭,816,0.715332,竹,上有青青竹
line,14849,0952,除夜,816,0.714844,遷徙,一從身去國
line,31902,2692,送毛仙翁,816,0.714844,鶴,莫知龜鶴年
line,6483,0281,讀謝靈運詩,816,0.713867,向化,通乃朝廷來
line,6565,0289,春遊二林寺,816,0.713867,冰,冰雪始消釋
line,6685,0296,食笋,816,0.713379,稻,與飯同時熟
line,6924,0310,截樹,817,0.844727,性情,人各有偏好
line,7012,0316,贖雞,817,0.831543,雁,鳬雁與鷗鷺
line,7025,0316,贖雞,817,0.818848,人餓,飢渴欲相吞
line,6755,0300,香爐峰下新置草堂即事詠懷題於石上,817,0.808594,傲慢,箕踞於其間
line,15231,1003,江樓夜吟元九律詩成三十韻,817,0.807129,泉源,醴泉流出地
line,6997,0314,垂釣,817,0.804199,郎官,一入承明廬
line,6767,0301,草堂前新開一池養魚種荷日有幽趣,817,0.803711,陂,浩浩萬頃陂
line,14434,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.802734,貧,貧室如懸磬
line,15551,1037,送友人上峽赴東川辟命,817,0.797852,舟,舟入似鯨吞
line,6868,0306,小池二首其一,817,0.796387,賢,坐把蒲葵扇
line,14404,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.796387,行旅,見《楚詞》
line,15572,1040,題詩屏風絶句,817,0.789062,離别,不見三年
line,9790,0505,首夏,817,0.784668,酒,潯陽多美酒
line,6959,0312,題座隅,817,0.784180,人餓,俱化爲餓殍
line,15026,0977,山居,817,0.783691,僧,其餘便是僧
line,6723,0299,題元十八溪亭,817,0.783203,離,始歎身無子
line,7071,0319,齊物二首其一,817,0.781738,珪璋,長短各有分
line,14263,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.780762,本土,鍾儀徒戀楚
line,7027,0316,贖雞,817,0.780273,豬,仁信及魚豚
line,6849,0305,烹葵,817,0.776855,秋,炊稻烹秋葵
line,9870,0509,南湖晚秋,817,0.776367,露,八月白露降
line,6852,0305,烹葵,817,0.775879,食,飢來止於飽
line,7014,0316,贖雞,817,0.771973,祈禳,適有鬻雞者
line,15134,0992,西河雨夜送客,817,0.770020,舟,遥認是行舟
line,6968,0313,昔與微之在朝日同蓄休退之心迨今十年淪落老大追尋前約且結後期,817,0.767578,詐稱官,往子爲御史
line,14354,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.767090,道路,失脚到泥塗
line,7005,0315,晚燕,817,0.766113,鷰,銜泥意如何
line,6719,0299,題元十八溪亭,817,0.763672,縱逸,醉卧不能起
line,6812,0304,答崔侍郎錢舍人書問因繼以詩,817,0.763672,䄍,便是了一日
line,14372,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.763184,名字,有東西二邘
line,7096,0322,題舊寫真圖,817,0.762695,形貎,形影默相顧
line,15077,0985,偶然二首其一,817,0.760742,日,月離于畢合霶𩃱
line,15555,1037,送友人上峽赴東川辟命,817,0.760742,逆旅,爲感主人恩
line,15218,1003,江樓夜吟元九律詩成三十韻,817,0.760254,明天文,精微思入玄
line,6727,0299,題元十八溪亭,817,0.759766,從學,往來從此始
line,14388,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.759766,華山,蓮花峰在廬山北
line,15258,1003,江樓夜吟元九律詩成三十韻,817,0.759277,樂器,巧拙尚相懸
line,6863,0305,烹葵,817,0.758789,讒謗,其間分是非
line,15005,0974,山中問月,817,0.758789,山,千巖將萬壑
line,6791,0303,登香爐峰頂,817,0.758301,圖畫,心存耳目想
line,15078,0985,偶然二首其一,817,0.757812,郊,有時不雨誰能測
line,15568,1040,題詩屏風絶句,817,0.756836,冬,十二年冬
line,14248,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.755371,風,風汎颭檣烏
line,6715,0299,題元十八溪亭,817,0.751465,命運,了然知所以
line,14219,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.751465,館驛,山頭看候館
line,14231,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.750977,魚,吏徵魚户税
line,9903,0511,感秋懷微之,817,0.750488,秋,秋風此時至
line,9924,0512,因沐感髮寄朗上人二首其一,817,0.750488,釋教,應是煩惱多
line,6732,0300,香爐峰下新置草堂即事詠懷題於石上,817,0.750000,松柏,有松數十株
line,6748,0300,香爐峰下新置草堂即事詠懷題於石上,817,0.749512,徵聘,何以洗我耳
line,15245,1003,江樓夜吟元九律詩成三十韻,817,0.749512,食,肉味經時忘
line,15072,0985,偶然二首其一,817,0.749023,關,放棄合宜何惻惻
line,15549,1037,送友人上峽赴東川辟命,817,0.748535,河,桃花水色渾
line,15042,0980,黄石巖下作,817,0.748047,雲,今移向白雲
line,9853,0508,感情,817,0.747070,美婦人,東鄰嬋娟子
line,6955,0312,題座隅,817,0.746094,愚,况我鄙且愚
line,6616,0293,栽杉,817,0.745605,豬,纔高四五尺
line,6948,0312,題座隅,817,0.743652,僕射,左右有兼僕
line,6973,0313,昔與微之在朝日同蓄休退之心迨今十年淪落老大追尋前約且結後期,817,0.742676,衣服,子曳繡爲衣
line,14350,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.742676,金吾將軍,驕不揖金吾
line,6961,0312,題座隅,817,0.742188,貧,食絶而終
line,6650,0294,過李生,817,0.741699,鸞,欲去復徘徊
line,6883,0308,閉關,817,0.740234,妾,生子欲能言
line,6834,0304,答崔侍郎錢舍人書問因繼以詩,817,0.739746,日,帝鄉遠於日
line,14281,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.738770,舉選,謂十六年予進士出身
line,14302,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.738770,表奏,諫切伏青蒲
line,15577,1040,題詩屏風絶句,817,0.738770,玉,雖藏於篋中
line,15580,1040,題詩屏風絶句,817,0.738770,義,如見所思
line,9852,0508,感情,817,0.738281,贈貺,昔贈我者誰
line,14244,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.738281,哭,野哭鳥相呼
line,6819,0304,答崔侍郎錢舍人書問因繼以詩,817,0.737793,性情,其心或不然
line,6910,0310,截樹,817,0.737793,淫亂,惜哉遠山色
line,6918,0310,截樹,817,0.737305,髴髴,又如所念人
line,14227,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.737305,雞,夷音語嘲哳
line,15030,0978,遺愛寺,817,0.737305,水,處處是泉聲
line,15112,0990,彭蠡湖晚歸,817,0.736816,河,桃花水氣春
line,15124,0991,酬贈李煉師見招,817,0.736816,父子,伯道無兒累更輕
line,14280,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.736328,射策,射策一彎弧
line,6733,0300,香爐峰下新置草堂即事詠懷題於石上,817,0.735840,竹,有竹千餘竿
line,6954,0312,題座隅,817,0.735840,得賢,雖賢亦爲幸
line,7099,0322,題舊寫真圖,817,0.735840,怨棄,能不昧平生
line,14241,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.735840,雜果,見果多盧橘
line,6881,0308,閉關,817,0.735352,女,髣髴二三年
line,14908,0961,聞李六景儉自河東令授唐鄧行軍司馬以詩賀之,817,0.734863,龍,水借蛟龍可在多
line,6610,0292,聞早鶯,817,0.733887,鳥,鳥聲信如一
line,6738,0300,香爐峰下新置草堂即事詠懷題於石上,817,0.733887,彈棊,有時聚猨鳥
line,14419,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.733887,卜筮,龜靈未免刳
line,6952,0312,題座隅,817,0.732910,形貎,若有人及此
line,6818,0304,答崔侍郎錢舍人書問因繼以詩,817,0.732422,矢,常見今之人
line,6823,0304,答崔侍郎錢舍人書問因繼以詩,817,0.732422,父子,無乃自傷殘
line,6942,0312,題座隅,817,0.730957,土功,量力揆所用
line,6725,0299,題元十八溪亭,817,0.730469,山,結室爲居士
line,14325,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.730469,地,不持確論
line,14347,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.729980,制誥,入視中樞草
line,6937,0311,望江樓上作,817,0.729492,勤,休退誠非早
line,9883,0510,郡廳有樹晚榮早凋人不識名因題其上,817,0.729004,不拾遺,有樹不知名
line,6801,0303,登香爐峰頂,817,0.728516,牆壁,闊狹無數丈
line,6951,0312,題座隅,817,0.728516,人餓,亦不至飢劬
line,9909,0511,感秋懷微之,817,0.728516,道路,今作泥塗吏
line,6928,0311,望江樓上作,817,0.728027,樓,江畔百尺樓
line,15259,1003,江樓夜吟元九律詩成三十韻,817,0.728027,李,各有詩千首
line,14261,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.727051,廚,鼎膩愁烹鼈
line,14406,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.727051,菊,蘂坼金英菊
line,6936,0311,望江樓上作,817,0.726562,酒,我年過不惑
line,15229,1003,江樓夜吟元九律詩成三十韻,817,0.726074,海,澒湧同波浪
line,6857,0305,烹葵,817,0.725586,求糴,昔亦無餘資
line,6949,0312,題座隅,817,0.725586,單車入賊,出入有單車
line,7103,0322,題舊寫真圖,817,0.725586,老,老去何足驚
line,9828,0506,孟夏思渭村舊居寄舍弟,817,0.725586,貢獻,已訝殊歲時
line,15275,1003,江樓夜吟元九律詩成三十韻,817,0.725586,郎官,不得當時遇
line,15196,1002,江南謫居十韻,817,0.725098,土功,薄命不如人
line,14290,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.724609,推薦,交分過蕭朱
line,6717,0299,題元十八溪亭,817,0.724121,溪,潺湲聲滿耳
line,6820,0304,答崔侍郎錢舍人書問因繼以詩,817,0.724121,祭祀,在勞則念息
line,6956,0312,題座隅,817,0.724121,首陽山,伯夷古賢人
line,14276,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.722656,關,輕棄度關繻
line,6846,0305,烹葵,817,0.722168,寢,昨卧不夕食
line,14899,0960,三月三日登庾樓寄庾三十二,817,0.722168,三月三,三日歡遊辭曲水
line,15199,1002,江南謫居十韻,817,0.722168,日,葵枯猶向日
line,15232,1003,江樓夜吟元九律詩成三十韻,817,0.721680,樂,鈞樂下從天
line,9829,0506,孟夏思渭村舊居寄舍弟,817,0.721191,戎狄,仍嗟異風俗
line,15265,1003,江樓夜吟元九律詩成三十韻,817,0.721191,債負,老償文債負
line,15576,1040,題詩屏風絶句,817,0.721191,《書》,殆數百篇
line,9824,0506,孟夏思渭村舊居寄舍弟,817,0.720703,雨,苦雨初入梅
line,15278,1003,江樓夜吟元九律詩成三十韻,817,0.720703,浦,湓浦與通川
line,6611,0292,聞早鶯,817,0.720215,衣服,分别在人情
line,7060,0318,食後,817,0.720215,寢,食罷一覺睡
line,15223,1003,江樓夜吟元九律詩成三十韻,817,0.720215,箏,八風淒間發
line,6765,0300,香爐峰下新置草堂即事詠懷題於石上,817,0.719727,天,人間多險艱
line,6965,0312,題座隅,817,0.719238,食,破滅無遺餘
line,15227,1003,江樓夜吟元九律詩成三十韻,817,0.719238,錦,文頭交比繡
line,6921,0310,截樹,817,0.718750,鳥,稍見飛鳥還
line,7075,0319,齊物二首其一,817,0.718262,隠逸,窮通兩無悶
line,6947,0312,題座隅,817,0.717773,施惠,祿俸及妻奴
line,14251,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.717773,酒,鼉鳴泉窟室
line,6628,0293,栽杉,817,0.717285,松柏,不見鬱鬱松
line,6940,0312,題座隅,817,0.716797,馬,手不任執殳
line,9820,0506,孟夏思渭村舊居寄舍弟,817,0.716309,泉源,井鮒思返泉
line,6817,0304,答崔侍郎錢舍人書問因繼以詩,817,0.715820,日,一貫無兩端
line,14238,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.715332,市,隄喧簇販夫
line,9916,0512,因沐感髮寄朗上人二首其一,817,0.714844,經過,乃至頭上髮
line,6844,0304,答崔侍郎錢舍人書問因繼以詩,817,0.714355,諫諍,慎勿説向人
line,7097,0322,題舊寫真圖,817,0.713867,兄弟,如弟對老兄
line,14346,0902,東南行一百韻寄通州元九侍御澧州李十一舍人果州崔二十二使君開州韋大員外庾三十二補闕杜十四拾遺李二十助教員外竇七校書,817,0.713379,甕,頽玉不勝扶
line,15571,1040,題詩屏風絶句,817,0.713379,行旅,相去萬里
line,15388,1010,送客春遊嶺南二十韻,818,0.850586,貧,憂道不憂貧
line,7205,0328,達理二首其一,818,0.829102,喪,齟齬於其中
line,10029,0520,秋槿,818,0.810059,女,女子晚婚姻
line,7146,0325,詠懷,818,0.783691,老,五十不爲夭
line,6780,0302,白雲期,818,0.782227,老,六十身太老
line,7143,0325,詠懷,818,0.780273,諸王府,或被人刑殘
line,7172,0327,山中獨吟,818,0.778809,性情,人各有一癖
line,9978,0516,早秋晚望兼呈韋侍御,818,0.778809,酒,潯陽酒甚濃
line,15340,1009,贈内子,818,0.768066,貧,貧中有等級
line,7166,0326,夜琴,818,0.766602,琵琶,調慢彈且緩
line,15344,1010,送客春遊嶺南二十韻,818,0.763184,見君,離容君蹙促
line,15400,1012,自悲,818,0.754395,土功,難死不過人
line,6782,0302,白雲期,818,0.750488,老,四十至五十
line,15609,1042,偶宴有懷,818,0.746582,鬚,慚見白髭鬚
line,7201,0328,達理二首其一,818,0.746094,心,方寸如虛空
line,7228,0330,湖亭晚望殘水,818,0.745605,隄渠,流注隨地勢
line,10987,0578,王夫子,818,0.744141,珠,顔色不同而已矣
line,15751,1064,殘暑招客,818,0.743652,儉,閑飲兩三杯
line,9952,0515,苦熱喜凉,818,0.743164,度支使,歲功成者去
line,10016,0519,夢與李七庾三十三同訪元九,818,0.741211,老,老去無見期
line,15408,1013,尋郭道士不遇,818,0.740723,舂,故以水碓擣煉
line,15720,1060,答元八郎中楊十二博士,818,0.740234,熱,身覺浮雲無所著
line,15718,1059,曉寢,818,0.738770,關,雞鳴一覺睡
line,9995,0519,夢與李七庾三十三同訪元九,818,0.736816,朋友,見我故親友
line,15856,1077,春聽琵琶兼簡長孫司户,818,0.735352,琵琶,四絃不似琵琶聲
line,15484,1025,遣懷,818,0.731934,敘四時,遂使四時都似電
line,7153,0325,詠懷,818,0.731445,勤官,從事於其間
line,7158,0325,詠懷,818,0.730469,命運,命即無奈何
line,10040,0521,答元郎中楊員外喜烏見寄,818,0.729980,烏,我歸應待烏頭白
line,15694,1055,贈曇禪師,818,0.729980,釋教,欲知火宅焚燒苦
line,15767,1066,九日醉吟,818,0.729980,九月九日,三見歳重陽
line,6895,0309,弄龜羅,818,0.729004,賔主,一能誦歌詩
line,6899,0309,弄龜羅,818,0.729004,老,我年行已衰
line,10039,0521,答元郎中楊員外喜烏見寄,818,0.729004,婚姻,望我歸鄉里
line,7160,0325,詠懷,818,0.728516,仁,且務由己者
line,15771,1066,九日醉吟,818,0.728516,門戶,門任雀羅張
line,7171,0326,夜琴,818,0.727539,聽,亦不要人聽
line,7142,0325,詠懷,818,0.725098,醜丈夫,或罹天六極
line,9996,0519,夢與李七庾三十三同訪元九,818,0.725098,奢侈,損之在我左
line,9985,0517,司馬宅,818,0.723633,風,秋風朝夕波
line,10032,0520,秋槿,818,0.723145,爭長,後時不獲已
line,15803,1071,題遺愛寺前溪松,818,0.721680,松柏,借鶴穩枝棲
line,15387,1010,送客春遊嶺南二十韻,818,0.719727,言語,嘗聞君子誡
line,15493,1026,點額魚,818,0.719727,龍,爲龍未必勝爲魚
line,15918,1084,初除官蒙裴常侍贈鶻銜瑞草緋袍魚袋因謝惠貺兼抒離情,818,0.718750,衣服,惠深范叔綈袍贈
line,15639,1046,歲暮,818,0.718262,雁,雁默先烹爲不才
line,10011,0519,夢與李七庾三十三同訪元九,818,0.717773,乞假,求索無所有
line,15865,1078,吳宮詞,818,0.717773,美婦人,無人覩翠蛾
line,15923,1084,初除官蒙裴常侍贈鶻銜瑞草緋袍魚袋因謝惠貺兼抒離情,818,0.717285,衣服,不敢多垂恐汙衣
line,10976,0578,王夫子,818,0.716797,祿養,近將徇祿給一家
line,15666,1050,對酒,818,0.716797,郎官,有時成白首
line,15383,1010,送客春遊嶺南二十韻,818,0.716309,酒,多置酒中
line,7156,0325,詠懷,818,0.715332,哭,窮通不由己
line,15375,1010,送客春遊嶺南二十韻,818,0.715332,風,欲大風即見
line,7163,0325,詠懷,818,0.714844,言語,天高難與言
line,15712,1059,曉寢,818,0.714844,枕,轉枕重安寢
line,15818,1072,廬山草堂夜雨獨宿寄牛二李七庾三十二員外,818,0.714844,禪定,唯有無生三昧觀
line,6891,0309,弄龜羅,818,0.714355,卜筮,字之爲阿龜
line,16323,1120,和李澧州題韋開州經藏詩,819,0.819336,魚,忘筌是得魚
line,10203,0531,招蕭處士,819,0.816406,好客,門前亦有客
line,16088,1097,江州赴忠州至江陵已來舟中示舍弟五十韻,819,0.812012,鳥,鳥以能言𦃪
line,16390,1126,和萬州楊使君四絶句競渡,819,0.805664,五月五日,競渡相傳爲汨羅
line,10592,0554,徵秋税畢題郡南亭,819,0.802734,譯語,尚不通語言
line,10042,0522,初入峽有感,819,0.800781,終南山,上有萬仞山
line,16224,1104,郡齋暇日憶廬山草堂兼寄二林僧社三十韻多叙貶官已來出處之意,819,0.794922,經,閑吟四句偈
line,16463,1139,冬至夜,819,0.790039,冬,一年冬至夜偏長
line,10071,0523,過昭君村,819,0.788574,美婦人,亦如彼姝子
line,16321,1120,和李澧州題韋開州經藏詩,819,0.785645,經,文字本空虛
line,16443,1136,寄微之,819,0.771973,傷,各有來由致損傷
line,10259,0535,九日登巴臺,819,0.770996,九月九日,今歲重陽日
line,16078,1097,江州赴忠州至江陵已來舟中示舍弟五十韻,819,0.770508,隠逸,無妨隱朝市
line,10110,0525,初到忠州登東樓寄萬州楊八使君,819,0.767578,雨,霧雨多陰天
line,10596,0554,徵秋税畢題郡南亭,819,0.765625,豐稔,賴此豐登年
line,10215,0531,招蕭處士,819,0.764648,杖,請君攜竹杖
line,10257,0535,九日登巴臺,819,0.764160,九月九日,去年重陽日
line,6211,0267,贈杓直,819,0.762695,貴,况兹止足外
line,16391,1126,和萬州楊使君四絶句競渡,819,0.761719,未能為政,不能止遏意無他
line,10140,0527,西樓夜,819,0.760742,鳥,生計南枝鳥
line,10081,0523,過昭君村,819,0.759277,烏,白黑既可變
line,16075,1097,江州赴忠州至江陵已來舟中示舍弟五十韻,819,0.759277,宅,何物要經營
line,16178,1104,郡齋暇日憶廬山草堂兼寄二林僧社三十韻多叙貶官已來出處之意,819,0.759277,禪定,安置坐禪牀
line,16134,1100,十年三月三日别微之於灃上十四年三月十一日夜遇微之於峽中停舟夷陵三宿而别言不盡者以詩終之因賦七言十七韻以贈且欲記所遇之地與相見之時爲他年會話張本也,819,0.756836,狗,黄牛﹑白狗
line,16187,1104,郡齋暇日憶廬山草堂兼寄二林僧社三十韻多叙貶官已來出處之意,819,0.756348,釋教,世界多煩惱
line,16070,1097,江州赴忠州至江陵已來舟中示舍弟五十韻,819,0.753906,溫湯,如湯探冷熱
line,16330,1122,即事寄微之,819,0.750977,買賣田,畬田澀米不耕鉏
line,16006,1097,江州赴忠州至江陵已來舟中示舍弟五十韻,819,0.748047,諫諍,泝流從漢浦
line,16195,1104,郡齋暇日憶廬山草堂兼寄二林僧社三十韻多叙貶官已來出處之意,819,0.746094,師,吾道尋知止
line,16370,1123,題郡中荔枝詩十八韻兼寄萬州楊八使君,819,0.742676,射,不得充王賦
line,16191,1104,郡齋暇日憶廬山草堂兼寄二林僧社三十韻多叙貶官已來出處之意,819,0.742188,死,此生死無休已
line,16001,1097,江州赴忠州至江陵已來舟中示舍弟五十韻,819,0.741699,車,同遊即弟兄
line,16329,1121,九日題塗谿,819,0.741211,九月九日,或可重陽更一來
line,10298,0538,桐花,819,0.740234,熱,不耐南方熱
line,15982,1095,重贈李大夫,819,0.739746,傲慢,慚君獨不欺顦顇
