unit_id,granularity,poem_id,卷,集类,集类号,诗类,题目,小序,组诗题,source_indices,reconstruction_mode,编号,作年,poem_source,注释引书_归一书名,初学记艺文类聚共同典源_归一书名,初学记艺文类聚共同典源_数量,是否涉及初学记艺文类聚共同典源,引文片段级共同典源_归一书名,引文片段级共同典源_数量,是否涉及引文片段级共同典源,verse_count,line_count,text,embedding_text,embedding_chars
1143,poem,1143,卷十八,,,雜律詩,酬嚴中丞晚眺黔江見寄,,,1143,revised_jsonl_direct,1144,819,revised_jsonl,笺；旧唐书；元和郡县志；送萧处士游黔南；太平御览；益州记；方舆胜览,益州记,1,True,,0,False,1,8,"江水三迴曲
愁人兩地情
磨圍山下色
明月峽中聲
晚後連天碧
秋來徹底清
臨流有新恨
照見白鬚生","酬嚴中丞晚眺黔江見寄江水三迴曲
愁人兩地情
磨圍山下色
明月峽中聲
晚後連天碧
秋來徹底清
臨流有新恨
照見白鬚生",57
1144,poem,1144,卷十八,,,雜律詩,寄題楊萬州四望樓,,,1144,revised_jsonl_direct,1145,819,revised_jsonl,笺；南宾郡斋即事寄杨万州；方舆胜览,,0,False,,0,False,1,4,"江上新樓名四望
東西南北水茫茫
無由得與君攜手
同凭欄干一望鄉","寄題楊萬州四望樓江上新樓名四望
東西南北水茫茫
無由得與君攜手
同凭欄干一望鄉",39
1145,poem,1145,卷十八,,,雜律詩,答楊使君登樓見憶,,,1145,revised_jsonl_direct,1146,819,revised_jsonl,笺,,0,False,,0,False,1,4,"忠萬樓中南北望
南州煙水北州雲
兩州何事偏相憶
各是籠禽作使君","答楊使君登樓見憶忠萬樓中南北望
南州煙水北州雲
兩州何事偏相憶
各是籠禽作使君",39
1146,poem,1146,卷十八,,,雜律詩,除夜,,,1146,revised_jsonl_direct,1147,819,revised_jsonl,笺；自咏,,0,False,,0,False,1,8,"歲暮紛多思
天涯渺未歸
老添新甲子
病減舊容輝
鄉國仍留念
功名已息機
明朝四十九
應轉悟前非","除夜歲暮紛多思
天涯渺未歸
老添新甲子
病減舊容輝
鄉國仍留念
功名已息機
明朝四十九
應轉悟前非",49
1147,poem,1147,卷十八,,,雜律詩,聞雷,,,1147,revised_jsonl_direct,1148,820,revised_jsonl,笺；赠元稹,,0,False,,0,False,1,8,"瘴地風霜早
温天氣候催
窮冬不見雪
正月已聞雷
震蟄蟲蛇出
驚枯草木開
空餘客方寸
依舊似寒灰","聞雷瘴地風霜早
温天氣候催
窮冬不見雪
正月已聞雷
震蟄蟲蛇出
驚枯草木開
空餘客方寸
依舊似寒灰",49
1148,poem,1148,卷十八,,,雜律詩,春至,,,1148,revised_jsonl_direct,1149,820,revised_jsonl,谱；笺；郡中春䜩因赠诸客,,0,False,,0,False,1,8,"若爲南國春還至
爭向東樓日又長
白片落梅浮澗水
黄梢新柳出城牆
閑拈蕉葉題詩詠
悶取藤枝引酒嘗
樂事漸無身漸老
從今始擬負風光","春至若爲南國春還至
爭向東樓日又長
白片落梅浮澗水
黄梢新柳出城牆
閑拈蕉葉題詩詠
悶取藤枝引酒嘗
樂事漸無身漸老
從今始擬負風光",65
1149,poem,1149,卷十八,,,雜律詩,感春,,,1149,revised_jsonl_direct,1150,820,revised_jsonl,笺；南宾郡斋即事寄杨万州；大方广佛华严经；诸法集要经,,0,False,,0,False,1,8,"巫峽中心郡
巴城四面春
草青臨水地
頭白見花人
憂喜皆心火
榮枯是眼塵
除非一杯酒
何物更關身","感春巫峽中心郡
巴城四面春
草青臨水地
頭白見花人
憂喜皆心火
榮枯是眼塵
除非一杯酒
何物更關身",49
1150,poem,1150,卷十八,,,雜律詩,春江,,,1150,revised_jsonl_direct,1151,820,revised_jsonl,笺；太平广记；六合县丞；广异记；景生；玄怪录,,0,False,,0,False,1,8,"炎凉昏曉苦推遷
不覺忠州已二年
閉閣只聽朝暮鼓
上樓空望往來船
鶯聲誘引來花下
草色勾留坐水邊
唯有春江看未厭
縈砂遶石淥潺湲","春江炎凉昏曉苦推遷
不覺忠州已二年
閉閣只聽朝暮鼓
上樓空望往來船
鶯聲誘引來花下
草色勾留坐水邊
唯有春江看未厭
縈砂遶石淥潺湲",65
1151,poem,1151,卷十八,,,雜律詩,題東樓前李使君所種櫻桃花,,,1151,revised_jsonl_direct,1152,820,revised_jsonl,笺；旧唐书；月三首；春日使府寓怀二首；游仙窟,,0,False,,0,False,1,4,"身入青雲無見日
手栽紅樹又逢春
唯留花向樓前著
故故抛愁與後人","題東樓前李使君所種櫻桃花身入青雲無見日
手栽紅樹又逢春
唯留花向樓前著
故故抛愁與後人",43
1152,poem,1152,卷十八,,,雜律詩,巴水,,,1152,revised_jsonl_direct,1153,820,revised_jsonl,笺；山石榴寄元九；和友人洛中春感,,0,False,,0,False,1,8,"城下巴江水
春來似麴塵
軟砂如渭曲
斜岸憶天津
影蘸新黄柳
香浮小白蘋
臨流搔首坐
惆悵爲何人","巴水城下巴江水
春來似麴塵
軟砂如渭曲
斜岸憶天津
影蘸新黄柳
香浮小白蘋
臨流搔首坐
惆悵爲何人",49
1153,poem,1153,卷十八,,,雜律詩,野行,,,1153,revised_jsonl_direct,1154,820,revised_jsonl,笺；叙德书情四十韵上宣歙崔中丞；岁暮道情二首；自望秦赴五松驿马上偶睡睡觉成吟,,0,False,,0,False,1,8,"草潤衫襟重
沙乾屐齒輕
仰頭聽鳥立
信脚望花行
暇日無公事
衰年有道情
浮生短於夢
夢裏莫營營","野行草潤衫襟重
沙乾屐齒輕
仰頭聽鳥立
信脚望花行
暇日無公事
衰年有道情
浮生短於夢
夢裏莫營營",49
1154,poem,1154,卷十八,,,雜律詩,送高侍御使迴因寄楊八,,,1154,revised_jsonl_direct,1155,820,revised_jsonl,笺；南宾郡斋即事寄杨万州；酬严中丞晚眺黔江见寄；唐律疏议；太平御览；荆州记；华阳国志；艺文类聚；黄草峡听柔之琴二首,荆州记；华阳国志,2,True,,0,False,1,4,"明月峽邊逢制使
黄茅岸上是忠州
到城莫説忠州惡
無益虛教楊八愁","送高侍御使迴因寄楊八明月峽邊逢制使
黄茅岸上是忠州
到城莫説忠州惡
無益虛教楊八愁",41
1155,poem,1155,卷十八,,,雜律詩,奉酬李相公見示絶句,,,1155,revised_jsonl_direct,1156,820,revised_jsonl,笺；寄李相公崔侍郎钱舍人；旧唐书；塞下曲五首；文献通考；东墟晚歇,,0,False,,0,False,1,4,"碧油幢下捧新詩
榮賤雖殊共一悲
涕淚滿襟君莫怪
甘泉侍從最多時","奉酬李相公見示絶句碧油幢下捧新詩
榮賤雖殊共一悲
涕淚滿襟君莫怪
甘泉侍從最多時",40
1156,poem,1156,卷十八,,,雜律詩,喜山石榴花開,,,1156,revised_jsonl_direct,1157,820,revised_jsonl,谱；笺；山石榴寄元九；三绝句；官舍迎内子有庭花开；江亭玩春；和元九悼往；新唐书；裴常侍以题蔷薇架十八韵见示因广为三十韵以和之；全唐诗续拾,,0,False,,0,False,1,8,"忠州州裏今日花
廬山山頭去年樹
已憐根損斬新栽
還喜花開依舊數
赤玉何人小琴軫
紅纈誰家合羅袴
但知爛熳姿情開
莫怕南賓桃李妬","喜山石榴花開忠州州裏今日花
廬山山頭去年樹
已憐根損斬新栽
還喜花開依舊數
赤玉何人小琴軫
紅纈誰家合羅袴
但知爛熳姿情開
莫怕南賓桃李妬",69
1157,poem,1157,卷十八,,,雜律詩,戲贈蕭處士清禪師,,,1157,revised_jsonl_direct,1158,820,revised_jsonl,笺；送萧处士游黔南；咏怀；酬晖上人秋夜山亭有赠；渭上偶钓；大宝积经；景德传灯录,,0,False,,0,False,1,4,"三杯嵬峩忘機客
百納頭陀任運僧
又有放慵巴郡守
不營一事共騰騰","戲贈蕭處士清禪師三杯嵬峩忘機客
百納頭陀任運僧
又有放慵巴郡守
不營一事共騰騰",39
1158,poem,1158,卷十八,,,雜律詩,錢虢州以三堂絶句見寄因以本韻和之,,,1158,revised_jsonl_direct,1159,820,revised_jsonl,笺；登龙昌上寺望江南山怀钱舍人；虢州三堂记；奉和虢州刘给事使君伯刍三堂新题二十一咏；清一统志；名胜志；和刘伯刍三堂二十一咏；醉吟二首；正月十五日夜东林寺学禅偶怀蓝田杨六主簿因呈智禅师；金刚三昧经,,0,False,,0,False,1,6,"同事空王歲月深
相思遠寄定中吟
遥知清淨中和化
祇用金剛三昧心
予早歲與錢君同習讀《金剛三昧經》
故云","錢虢州以三堂絶句見寄因以本韻和之同事空王歲月深
相思遠寄定中吟
遥知清淨中和化
祇用金剛三昧心
予早歲與錢君同習讀《金剛三昧經》
故云",67
1159,poem,1159,卷十八,,,雜律詩,三月三日,,,1159,revised_jsonl_direct,1160,820,revised_jsonl,笺；后汉书；宋书,后汉书；宋书,2,True,,0,False,1,4,"暮春風景初三日
流世光陰半百年
欲作閑遊無好伴
半江惆悵却迴船","三月三日暮春風景初三日
流世光陰半百年
欲作閑遊無好伴
半江惆悵却迴船",35
1160,poem,1160,卷十八,,,雜律詩,寒食夜,,,1160,revised_jsonl_direct,1161,820,revised_jsonl,谱；笺；荆楚岁时记,荆楚岁时记,1,True,,0,False,1,4,"四十九年身老日
一百五夜月明天
抱膝思量何事在
癡男騃女喚鞦韆","寒食夜四十九年身老日
一百五夜月明天
抱膝思量何事在
癡男騃女喚鞦韆",34
1161,poem,1161,卷十八,,,雜律詩,代州民問,,,1161,revised_jsonl_direct,1162,820,revised_jsonl,笺；登龙昌上寺望江南山怀钱舍人；九日登巴台,,0,False,,0,False,1,4,"龍昌寺底開山路
巴子臺前種柳林
官職家鄉都忘却
誰人會得使君心","代州民問龍昌寺底開山路
巴子臺前種柳林
官職家鄉都忘却
誰人會得使君心",35
1162,poem,1162,卷十八,,,雜律詩,答州民,,,1162,revised_jsonl_direct,1163,820,revised_jsonl,笺；游悟真寺诗一百三十韵；约心；答朝士；放言五首,,0,False,,0,False,1,4,"宦情抖擻隨塵去
鄉思銷磨逐日無
唯擬騰騰作閑事
遮渠不道使君愚","答州民宦情抖擻隨塵去
鄉思銷磨逐日無
唯擬騰騰作閑事
遮渠不道使君愚",34
1163,poem,1163,卷十八,,,雜律詩,荔枝樓對酒,,,1163,revised_jsonl_direct,1164,820,revised_jsonl,笺；方舆胜览；荔枝楼对酒；吴船录；唐国史补；岭表录异；老学庵笔记,,0,False,,0,False,1,4,"荔枝新熟雞冠色
燒酒初開琥珀香
欲摘一枝傾一盞
西樓無客共誰嘗","荔枝樓對酒荔枝新熟雞冠色
燒酒初開琥珀香
欲摘一枝傾一盞
西樓無客共誰嘗",36
1164,poem,1164,卷十八,,,雜律詩,房家夜宴喜雪戲贈主人,,,1164,revised_jsonl_direct,1165,820,revised_jsonl,笺；水经注；齐民要术；旧唐书；诗人玉屑；后史补；教坊记；乐府杂录；乐府诗集；柘枝舞小考；唐代长安与西域文明；译余偶拾；说郛；程氏则古；宣猷堂宴集五首；南朝诗中的次韵问题；启功丛稿；春赋；野客丛书,春赋,1,True,,0,False,1,8,"風頭向夜利如刀
賴此温爐軟錦袍
桑落氣薰珠翠暖
柘枝聲引管絃高
酒鉤送盞推蓮子
燭淚粘盤壘蒲萄
不醉遣儂爭散得
門前雪片似鵝毛","房家夜宴喜雪戲贈主人風頭向夜利如刀
賴此温爐軟錦袍
桑落氣薰珠翠暖
柘枝聲引管絃高
酒鉤送盞推蓮子
燭淚粘盤壘蒲萄
不醉遣儂爭散得
門前雪片似鵝毛",73
1165,poem,1165,卷十八,,,雜律詩,醉後贈人,,,1165,revised_jsonl_direct,1166,820,revised_jsonl,笺；太平广记；冥音录；隋唐五代燕乐杂言歌辞研究；步东坡,,0,False,,0,False,1,4,"香毬趁拍迴環匼
花盞抛巡取次飛
自入春來未同醉
那能夜去獨先歸","醉後贈人香毬趁拍迴環匼
花盞抛巡取次飛
自入春來未同醉
那能夜去獨先歸",35
1166,poem,1166,卷十八,,,雜律詩,初除尚書郎脱刺史緋,,,1166,revised_jsonl_direct,1167,820,revised_jsonl,谱；笺；旧唐书；商山路有感；发白狗峡次黄牛峡登高寺却望忠州；演繁露；六典；送高侍御使回因寄杨八；和钱员外禁中夙兴见示；郡斋暇日辱常州陈郎中使君早春晚坐水西馆书事诗十六韵见寄亦以十六韵酬之；初除官蒙裴常侍赠鹘衔瑞草绯袍鱼袋因谢惠贶兼抒离情,,0,False,,0,False,1,8,"親賓相賀問何如
服色恩光盡反初
頭白喜抛黄草峽
眼明驚拆紫泥書
便留朱紱還鈴閣
却著青袍侍玉除
無奈嬌癡三歲女
繞腰啼哭覓銀魚","初除尚書郎脱刺史緋親賓相賀問何如
服色恩光盡反初
頭白喜抛黄草峽
眼明驚拆紫泥書
便留朱紱還鈴閣
却著青袍侍玉除
無奈嬌癡三歲女
繞腰啼哭覓銀魚",72
1167,poem,1167,卷十八,,,雜律詩,留題開元寺上方,,,1167,revised_jsonl_direct,1168,820,revised_jsonl,笺；开元寺东池早春；和钱员外青龙寺上方望旧山,,0,False,,0,False,1,8,"東寺臺閣好
上方風景清
數來猶未厭
長别豈無情
戀水多臨坐
辭花剩繞行
最憐新岸柳
手種未全成","留題開元寺上方東寺臺閣好
上方風景清
數來猶未厭
長别豈無情
戀水多臨坐
辭花剩繞行
最憐新岸柳
手種未全成",54
1168,poem,1168,卷十八,,,雜律詩,别種東坡花樹兩絶其一,,,1168,revised_jsonl_direct,1169,820,revised_jsonl,谱；笺；东坡种花二首,,0,False,,0,False,1,4,"二年留滯在江城
草樹禽魚盡有情
何處殷勤重迴首
東坡桃李種新成","别種東坡花樹兩絶其一二年留滯在江城
草樹禽魚盡有情
何處殷勤重迴首
東坡桃李種新成",41
1169,poem,1169,卷十八,,,雜律詩,别種東坡花樹兩絶其二,,,1169,revised_jsonl_direct,1170,,revised_jsonl,,,0,False,,0,False,1,4,"花林好住莫顦顇
春至但知依舊春
樓上明年新太守
不妨還是愛花人","别種東坡花樹兩絶其二花林好住莫顦顇
春至但知依舊春
樓上明年新太守
不妨還是愛花人",41
1170,poem,1170,卷十八,,,雜律詩,别橋上竹,,,1170,revised_jsonl_direct,1171,820,revised_jsonl,笺；三年为刺史二首,,0,False,,0,False,1,4,"穿橋迸竹不依行
恐礙行人被損傷
我去自慚遺愛少
不教君得似甘棠","别橋上竹穿橋迸竹不依行
恐礙行人被損傷
我去自慚遺愛少
不教君得似甘棠",35
1171,poem,1171,卷十八,,,雜律詩,發白狗峽次黄牛峽登高寺却望忠州,,,1171,revised_jsonl_direct,1172,820,revised_jsonl,谱；笺；十年三月三日别微之于沣上十四年三月十一日夜遇微之于峡中停舟夷陵三宿而别言不尽者以诗终之因赋七言十七韵以赠且欲记所遇之地与相见之时为他年会话张本也,,0,False,,0,False,1,20,"白狗次黄牛
灘如竹節稠
路穿天地險
人續古今愁
忽見千花塔
因停一葉舟
畏途常迫促
靜境暫淹留
巴曲春全盡
巫陽雨半收
北歸雖引領
南望亦迴頭
昔去悲殊俗
今來念舊遊
别僧山北寺
抛竹水西樓
郡樹花如雪
軍厨酒似油
時時大開口
自笑憶忠州","發白狗峽次黄牛峽登高寺却望忠州白狗次黄牛
灘如竹節稠
路穿天地險
人續古今愁
忽見千花塔
因停一葉舟
畏途常迫促
靜境暫淹留
巴曲春全盡
巫陽雨半收
北歸雖引領
南望亦迴頭
昔去悲殊俗
今來念舊遊
别僧山北寺
抛竹水西樓
郡樹花如雪
軍厨酒似油
時時大開口
自笑憶忠州",134
1172,poem,1172,卷十八,,,雜律詩,棣華驛見楊八題夢兄弟詩,,,1172,revised_jsonl_direct,1173,820,revised_jsonl,笺；赴杭州重宿棣华驿见杨八旧诗感题一绝；送杨八给事赴常州；唐书；题杨颖士西亭；诗,诗,1,True,,0,False,1,4,"遥闻旅宿夢兄弟
應爲郵亭名棣華
名作棣華來早晚
自題詩後屬楊家","棣華驛見楊八題夢兄弟詩遥闻旅宿夢兄弟
應爲郵亭名棣華
名作棣華來早晚
自題詩後屬楊家",42
