作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
杨收,杨收,小样本,3,12,False,False,1,83.33333333333333,1,33.33333333333333,1,83.33333333333333,1,83.33333333333333,1,83.33333333333333,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,1.0,1.0,1.0,1.0,0.815976,0.815976,0.815976,0.815976,0.815976,0.815976,22.0,,,
于尹躬,于尹躬,小样本,1,12,False,False,1,83.33333333333333,1,100.0,1,83.33333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.747539,0.747539,0.747539,0.747539,0.747539,0.747539,22.0,,,
舒道纪,舒道纪,小样本,2,16,False,False,1,62.5,1,50.0,1,62.5,1,62.5,1,62.5,1,50.0,1,50.0,1,50.0,1.0,1.0,1.0,1.0,0.80801,0.80801,0.80801,0.80801,0.80801,0.80801,25.0,,,
韩昭,韩昭,小样本,2,16,False,False,1,62.5,1,50.0,1,62.5,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.755111,0.755111,0.755111,0.755111,0.755111,0.755111,25.0,,,
王宏,王宏,小样本,1,16,False,False,2,125.0,1,100.0,1,62.5,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0.5,0.0,1.0,0.0,0.7123809999999999,0.7123809999999999,0.76266,0.76266,0.76266,0.76266,25.0,,,
许宣平,许宣平,小样本,3,16,False,False,2,125.0,2,66.66666666666666,1,62.5,1,62.5,1,62.5,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,0.5,0.5,0.5,0.5,0.700473,0.700473,0.808212,0.700473,0.700473,0.808212,25.0,,,
韦璜,韦璜,小样本,3,18,False,False,1,55.55555555555555,1,33.33333333333333,1,55.55555555555555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.743842,0.743842,0.743842,0.743842,0.743842,0.743842,29.0,,,
谢良辅,谢良辅,小样本,4,18,False,False,2,111.1111111111111,2,50.0,1,55.55555555555555,1,55.55555555555555,1,55.55555555555555,1,25.0,1,25.0,1,25.0,0.5,0.5,0.5,0.5,0.736052,0.736052,0.821447,0.736052,0.736052,0.821447,29.0,,,
唐晅,唐晅,小样本,2,18,False,False,2,111.1111111111111,1,50.0,1,55.55555555555555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.7025155000000001,0.7025155000000001,0.74288,0.74288,0.74288,0.74288,29.0,,,
常理,常理,小样本,3,38,False,False,2,52.63157894736842,2,66.66666666666666,2,52.63157894736842,2,52.63157894736842,0,0.0,2,66.66666666666666,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.775562,0.775562,0.775562,0.775562,0.775562,0.775562,32.0,,,
刘行敏,刘行敏,小样本,3,20,False,False,1,50.0,1,33.33333333333333,1,50.0,1,50.0,1,50.0,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,1.0,1.0,1.0,1.0,0.864419,0.864419,0.864419,0.864419,0.864419,0.864419,33.0,,,
崔禹锡,崔禹锡,小样本,1,20,False,False,1,50.0,1,100.0,1,50.0,1,50.0,1,50.0,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.801294,0.801294,0.801294,0.801294,0.801294,0.801294,33.0,,,
郭密之,郭密之,小样本,1,20,False,False,1,50.0,1,100.0,1,50.0,1,50.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.77345,0.77345,0.77345,0.77345,0.77345,0.77345,33.0,,,
长孙无忌,长孙无忌,小样本,3,20,False,False,1,50.0,1,33.33333333333333,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.745414,0.745414,0.745414,0.745414,0.745414,0.745414,33.0,,,
柳曾,柳曾,小样本,1,20,False,False,4,200.0,1,100.0,1,50.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0.25,0.0,1.0,0.0,0.685972,0.685207,0.756424,0.756424,0.756424,0.756424,33.0,,,
元希声,元希声,小样本,1,62,False,False,4,64.51612903225806,1,100.0,3,48.387096774193544,3,48.387096774193544,2,32.25806451612903,1,100.0,1,100.0,1,100.0,0.75,0.75,1.0,1.0,0.82798225,0.8292759999999999,0.961085,0.961085,0.961085,0.961085,38.0,,,
杨凝式,杨凝式,小样本,5,22,False,False,1,45.45454545454545,1,20.0,1,45.45454545454545,1,45.45454545454545,0,0.0,1,20.0,1,20.0,0,0.0,1.0,1.0,1.0,1.0,0.79549,0.79549,0.79549,0.79549,0.79549,0.79549,39.0,,,
崔璐,崔璐,小样本,1,22,False,False,2,90.9090909090909,1,100.0,1,45.45454545454545,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0.5,0.0,1.0,0.0,0.698855,0.698855,0.766816,0.766816,0.766816,0.766816,39.0,,,
张濯,张濯,小样本,2,24,False,False,1,41.666666666666664,1,50.0,1,41.666666666666664,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.763397,0.763397,0.763397,0.763397,0.763397,0.763397,41.0,,,
刘绮庄,刘绮庄,小样本,3,24,False,False,1,41.666666666666664,1,33.33333333333333,1,41.666666666666664,0,0.0,0,0.0,1,33.33333333333333,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.762506,0.762506,0.762506,0.762506,0.762506,0.762506,41.0,,,
李沛,李沛,小样本,2,24,False,False,3,125.0,2,100.0,1,41.666666666666664,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0.3333333333333333,0.0,0.5,0.0,0.706486,0.704888,0.75696,0.7309239999999999,0.7309239999999999,0.75696,41.0,,,
鲁收,鲁收,小样本,1,24,False,False,2,83.33333333333333,1,100.0,1,41.666666666666664,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.7015475,0.7015475,0.750478,0.750478,0.750478,0.750478,41.0,,,
李翱,李翱,小样本,7,50,False,False,5,100.0,3,42.857142857142854,2,40.0,1,20.0,1,20.0,1,14.285714285714285,1,14.285714285714285,1,14.285714285714285,0.4,0.2,0.3333333333333333,0.3333333333333333,0.719395,0.715632,0.813436,0.7597096666666667,0.750061,0.813436,45.0,,,
于邵,于邵,小样本,5,28,False,False,1,35.714285714285715,1,20.0,1,35.714285714285715,1,35.714285714285715,1,35.714285714285715,1,20.0,1,20.0,1,20.0,1.0,1.0,1.0,1.0,0.9508,0.9508,0.9508,0.9508,0.9508,0.9508,46.0,,,
豆卢回,豆卢回,小样本,1,30,False,False,1,33.333333333333336,1,100.0,1,33.333333333333336,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.759295,0.759295,0.759295,0.759295,0.759295,0.759295,47.0,,,
