作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
张谓,张谓,稳健样本,40,376,True,False,13,34.57446808510638,7,17.5,2,5.319148936170213,1,2.6595744680851063,1,2.6595744680851063,1,2.5,1,2.5,1,2.5,0.15384615384615385,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.6827194615384615,0.672914,0.822471,0.6956578571428571,0.685321,0.822471,127.0,40.0,43.0,82.0
杜光庭,杜光庭,稳健样本,29,246,True,False,19,77.23577235772358,10,34.48275862068966,2,8.130081300813009,2,8.130081300813009,1,4.065040650406504,1,3.4482758620689653,1,3.4482758620689653,1,3.4482758620689653,0.10526315789473684,0.10526315789473684,0.1,0.1,0.6744297368421053,0.672635,0.891481,0.663061,0.670291,0.891481,104.0,21.0,8.0,54.0
武元衡,武元衡,大样本,192,1544,True,True,29,18.78238341968912,25,13.020833333333334,2,1.2953367875647668,2,1.2953367875647668,2,1.2953367875647668,1,0.5208333333333333,1,0.5208333333333333,1,0.5208333333333333,0.06896551724137931,0.06896551724137931,0.04,0.04,0.6525083793103449,0.63985,0.841132,0.65630896,0.644791,0.841132,225.0,135.0,76.0,147.0
吴少微,吴少微,小样本,8,187,False,False,9,48.1283422459893,3,37.5,2,10.695187165775401,2,10.695187165775401,0,0.0,1,12.5,1,12.5,0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6416813333333333,0.644353,0.79074,0.6931486666666666,0.644353,0.79074,92.0,,,
于邵,于邵,小样本,5,28,False,False,1,35.714285714285715,1,20.0,1,35.714285714285715,1,35.714285714285715,1,35.714285714285715,1,20.0,1,20.0,1,20.0,1.0,1.0,1.0,1.0,0.9508,0.9508,0.9508,0.9508,0.9508,0.9508,46.0,,,
孙思邈,孙思邈,小样本,1,38,False,False,1,26.31578947368421,1,100.0,1,26.31578947368421,1,26.31578947368421,1,26.31578947368421,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.909358,0.909358,0.909358,0.909358,0.909358,0.909358,55.0,,,
刘行敏,刘行敏,小样本,3,20,False,False,1,50.0,1,33.33333333333333,1,50.0,1,50.0,1,50.0,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,1.0,1.0,1.0,1.0,0.864419,0.864419,0.864419,0.864419,0.864419,0.864419,33.0,,,
武昌妓,武昌妓,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,1,250.0,1,250.0,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.840199,0.840199,0.840199,0.840199,0.840199,0.840199,1.0,,,
成真人,成真人,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,1,250.0,1,250.0,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.829405,0.829405,0.829405,0.829405,0.829405,0.829405,1.0,,,
莫宣卿,莫宣卿,小样本,4,34,False,False,1,29.41176470588235,1,25.0,1,29.41176470588235,1,29.41176470588235,1,29.41176470588235,1,25.0,1,25.0,1,25.0,1.0,1.0,1.0,1.0,0.821402,0.821402,0.821402,0.821402,0.821402,0.821402,52.0,,,
李纾,李纾,小样本,8,64,False,False,1,15.625,1,12.5,1,15.625,1,15.625,1,15.625,1,12.5,1,12.5,1,12.5,1.0,1.0,1.0,1.0,0.817422,0.817422,0.817422,0.817422,0.817422,0.817422,75.0,,,
杨收,杨收,小样本,3,12,False,False,1,83.33333333333333,1,33.33333333333333,1,83.33333333333333,1,83.33333333333333,1,83.33333333333333,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,1.0,1.0,1.0,1.0,0.815976,0.815976,0.815976,0.815976,0.815976,0.815976,22.0,,,
崔翘,崔翘,小样本,3,32,False,False,1,31.25,1,33.33333333333333,1,31.25,1,31.25,1,31.25,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,1.0,1.0,1.0,1.0,0.812034,0.812034,0.812034,0.812034,0.812034,0.812034,48.0,,,
舒道纪,舒道纪,小样本,2,16,False,False,1,62.5,1,50.0,1,62.5,1,62.5,1,62.5,1,50.0,1,50.0,1,50.0,1.0,1.0,1.0,1.0,0.80801,0.80801,0.80801,0.80801,0.80801,0.80801,25.0,,,
陈叔达,陈叔达,小样本,9,74,False,False,2,27.027027027027028,1,11.11111111111111,1,13.513513513513514,1,13.513513513513514,1,13.513513513513514,1,11.11111111111111,1,11.11111111111111,1,11.11111111111111,0.5,0.5,1.0,1.0,0.8042265,0.8042265,0.97074,0.97074,0.97074,0.97074,82.0,,,
崔禹锡,崔禹锡,小样本,1,20,False,False,1,50.0,1,100.0,1,50.0,1,50.0,1,50.0,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.801294,0.801294,0.801294,0.801294,0.801294,0.801294,33.0,,,
王睿,王睿,稳健样本,11,72,True,False,1,13.888888888888888,1,9.090909090909092,1,13.888888888888888,1,13.888888888888888,1,13.888888888888888,1,9.090909090909092,1,9.090909090909092,1,9.090909090909092,1.0,1.0,1.0,1.0,0.800535,0.800535,0.800535,0.800535,0.800535,0.800535,80.0,6.0,1.0,11.0
