作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
鲍溶,鲍溶,大样本,189,2311,True,True,86,37.21332756382519,61,32.27513227513227,6,2.5962786672436176,4,1.7308524448290783,1,0.4327131112072696,5,2.6455026455026456,3,1.5873015873015872,1,0.5291005291005291,0.06976744186046512,0.046511627906976744,0.08196721311475409,0.04918032786885246,0.6576307093023256,0.660894,0.915054,0.6645945901639344,0.663148,0.915054,180.0,91.0,62.0,75.0
独孤及,独孤及,大样本,82,1196,True,True,30,25.08361204013378,20,24.390243902439025,3,2.508361204013378,2,1.6722408026755853,1,0.8361204013377926,2,2.4390243902439024,1,1.2195121951219512,1,1.2195121951219512,0.1,0.06666666666666667,0.1,0.05,0.6702542,0.651157,0.841508,0.6881227,0.6846385,0.841508,183.0,94.0,66.0,84.0
皎然,皎然,大样本,506,5651,True,True,154,27.251813838258716,110,21.73913043478261,14,2.4774376216598832,8,1.4156786409485047,4,0.7078393204742524,8,1.5810276679841897,5,0.9881422924901186,3,0.592885375494071,0.09090909090909091,0.05194805194805195,0.07272727272727272,0.045454545454545456,0.659131461038961,0.65152,0.96043,0.6658135636363636,0.6646615,0.96043,184.0,95.0,70.0,106.0
岑参,岑参,大样本,386,4487,True,True,127,28.30398930242924,101,26.165803108808287,11,2.4515266324938714,1,0.22286605749944285,1,0.22286605749944285,7,1.8134715025906734,1,0.2590673575129534,1,0.2590673575129534,0.08661417322834646,0.007874015748031496,0.06930693069306931,0.009900990099009901,0.6590584015748031,0.657698,0.813624,0.6634375742574257,0.658982,0.813624,185.0,96.0,120.0,100.0
李峤,李峤,大样本,208,2048,True,True,30,14.6484375,27,12.980769230769232,5,2.44140625,2,0.9765625,1,0.48828125,3,1.4423076923076923,2,0.9615384615384616,1,0.4807692307692308,0.16666666666666666,0.06666666666666667,0.1111111111111111,0.07407407407407407,0.6507596,0.6363475000000001,0.81795,0.6505912222222222,0.636815,0.81795,186.0,97.0,89.0,110.0
杜甫,杜甫,大样本,1158,19576,True,True,464,23.702492848385777,306,26.42487046632124,47,2.40089906007356,25,1.2770739681242336,14,0.7151614221495709,42,3.6269430051813467,23,1.9861830742659756,14,1.2089810017271159,0.10129310344827586,0.05387931034482758,0.13725490196078433,0.07516339869281045,0.6659159310344827,0.662214,0.886258,0.6767574215686275,0.6740065,0.886258,187.0,98.0,78.0,52.0
王勃,王勃,大样本,81,849,True,True,14,16.489988221436985,11,13.580246913580247,2,2.3557126030624262,1,1.1778563015312131,0,0.0,2,2.4691358024691357,0,0.0,0,0.0,0.14285714285714285,0.07142857142857142,0.18181818181818182,0.0,0.6440288571428571,0.6187775,0.776838,0.6481413636363637,0.628966,0.776838,188.0,99.0,82.0,83.0
李端,李端,大样本,271,2589,True,True,50,19.312475859405176,47,17.343173431734318,6,2.317497103128621,3,1.1587485515643106,0,0.0,5,1.8450184501845017,2,0.7380073800738007,0,0.0,0.12,0.06,0.10638297872340426,0.0425531914893617,0.65831668,0.6555425,0.788044,0.6605568936170213,0.656563,0.788044,189.0,100.0,83.0,99.0
骆宾王,骆宾王,大样本,124,2171,True,True,43,19.806540764624597,21,16.93548387096774,5,2.3030861354214647,1,0.460617227084293,1,0.460617227084293,4,3.225806451612903,1,0.8064516129032258,1,0.8064516129032258,0.11627906976744186,0.023255813953488372,0.19047619047619047,0.047619047619047616,0.6517224651162791,0.648863,0.838487,0.6742008095238096,0.670824,0.838487,190.0,101.0,107.0,57.0
刘禹锡,刘禹锡,大样本,493,4802,True,True,114,23.740108288213243,98,19.878296146044626,11,2.2907122032486464,6,1.249479383590171,2,0.41649312786339027,8,1.6227180527383367,2,0.4056795131845842,2,0.4056795131845842,0.09649122807017543,0.05263157894736842,0.08163265306122448,0.02040816326530612,0.6519848421052632,0.6533154999999999,0.823516,0.6527028265306123,0.654374,0.823516,191.0,102.0,80.0,105.0
