作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度,total_line_count,line_p90_count,句级p90互文密度_每千句,样本规模标记,部类高值密度_每千句,部类占诗人高值比例,诗人内部类高值排名
常建,縣尉,1,0.768863,0.768863,送李十一尉临溪,以言神仙尉,仙吏,仙尉。,0.768863,660,1,1.5151515151515151,大样本,1.5151515151515151,1.0,1.0
王绩,材木,1,0.904409,0.904409,薛记室收过庄见寻率题古意以赠,朽木不可雕,朽木不可彫,,0.904409,661,4,6.051437216338881,稳健样本,1.5128593040847202,0.25,1.0
王绩,老,1,0.823531,0.823531,在京思故园见乡人问,老去不知回,不知老之將至,,0.823531,661,4,6.051437216338881,稳健样本,1.5128593040847202,0.25,2.0
王绩,太師,1,0.771347,0.771347,赠梁公,圣莫若周公,周公,《書》：召公為保，周公為師，相成王為左右。,0.771347,661,4,6.051437216338881,稳健样本,1.5128593040847202,0.25,3.0
王绩,蒲桃,1,0.742082,0.742082,独酌,不如多酿酒,釀酒,史大宛以蒲桃釀酒，富人藏酒至萬石，數十年不敗。,0.742082,661,4,6.051437216338881,稳健样本,1.5128593040847202,0.25,4.0
刘希夷,君臣,1,0.764128,0.764128,洛川怀古,朝廷多近臣,近臣,漢嚴助為太中大夫後得朱買臣吾邱壽王主父偃徐樂嚴安枚臯從車並在左右助等與大臣辨論中外相應以義理之文大臣數詘司馬相如數稱疾避事枚臯東方朔不根持論上頗俳優畜之唯助與壽王見任而助最先進,0.764128,682,1,1.466275659824047,稳健样本,1.466275659824047,1.0,1.0
李德裕,貴,2,0.797556,0.781576,近于伊川卜山居将命者画图而至欣然有感…青田胎化鹤,惭逾六百石,不過六百石,《後漢》：邴渙兄曼容亦飬志，自修為官，不過六百石，輒自免去。,0.797556,1419,4,2.8188865398167726,大样本,1.4094432699083863,0.5,1.0
崔颢,終南山,1,0.760499,0.760499,杂诗,玉堂有美女,玉堂,南五十里，有玉堂陽官。,0.760499,710,2,2.8169014084507045,稳健样本,1.4084507042253522,0.5,1.0
崔颢,推斷獄,1,0.751191,0.751191,结定襄郡狱效陶体,小大必以情,察必以情。,小大之獄，雖不能察必以情。,0.751191,710,2,2.8169014084507045,稳健样本,1.4084507042253522,0.5,2.0
胡曾,貴,1,0.76051,0.76051,咏史诗。上蔡,功成不解谋身退,身退,功成名遂身退，天之道。,0.76051,716,1,1.3966480446927374,大样本,1.3966480446927374,1.0,1.0
卢照邻,道路,2,0.749436,0.749436,乐府杂曲。鼓吹曲辞。上之回,回中道路险,回中道,武帝通回中道。,0.749436,1445,11,7.612456747404845,大样本,1.3840830449826989,0.18181818181818182,1.0
元结,父子,2,0.746863,0.744583,二风诗。治风诗五篇。至慈,而不知其慈,不慈,父不慈，子不孝。祗服厥父。,0.746863,1486,12,8.075370121130552,大样本,1.3458950201884252,0.16666666666666666,2.0
李山甫,敬遠,1,0.771524,0.771524,山中答刘书记寓怀,鬼神亦相敬,鬼神之德,子曰：鬼神之為德，其至矣乎？視之而不見，聽之而不聞，使天下之齊明盛德，以承祭祀，洋洋乎如在。洋洋相思之貌。,0.771524,754,3,3.9787798408488064,大样本,1.3262599469496021,0.3333333333333333,1.0
李山甫,賞賜,1,0.752068,0.752068,古石砚,何啻直千金,不吝千金,《魏志》：太祖其有功勳勞，不吝千金。無功望施，分毫不與。,0.752068,754,3,3.9787798408488064,大样本,1.3262599469496021,0.3333333333333333,2.0
李山甫,父子,1,0.742462,0.742462,山中依韵答刘书记见赠,讵言才不才,才不才,亦各言其子也。,0.742462,754,3,3.9787798408488064,大样本,1.3262599469496021,0.3333333333333333,3.0
李隆基,推斷獄,1,0.812973,0.812973,赐诸州刺史以题座右,讼狱必以情,察必以情。,小大之獄，雖不能察必以情。,0.812973,757,4,5.284015852047556,大样本,1.321003963011889,0.25,1.0
李隆基,射,1,0.767554,0.767554,校猎义成喜逢大雪率题九韵以示群官,弧矢威天下,以威天下,聖人弦木為弧，剡木為矢。弧矢之利，以威天下，蓋取諸睽。,0.767554,757,4,5.284015852047556,大样本,1.321003963011889,0.25,2.0
李隆基,貧,1,0.764493,0.764493,途经华岳,四方皆石壁,四壁,司馬相如居徒四壁。,0.764493,757,4,5.284015852047556,大样本,1.321003963011889,0.25,3.0
李隆基,笑,1,0.755272,0.755272,经邹鲁祭孔子而叹之,夫子何为者,夫子何哂,,0.755272,757,4,5.284015852047556,大样本,1.321003963011889,0.25,4.0
张蠙,儒教,1,0.802154,0.802154,送成州牧,自古有儒流,儒流,,0.802154,764,3,3.926701570680628,大样本,1.3089005235602096,0.3333333333333333,1.0
张蠙,雨,1,0.762022,0.762022,投翰林张侍郎,愿与吾君作霖雨,霖雨,若歲大旱，用汝作霖雨。,0.762022,764,3,3.926701570680628,大样本,1.3089005235602096,0.3333333333333333,2.0
张蠙,晦日,1,0.754073,0.754073,送友人赴泾州幕（一作送李中丞再赴虔州）,日月相期尽,月桂盡,謂月晦也。,0.754073,764,3,3.926701570680628,大样本,1.3089005235602096,0.3333333333333333,3.0
佚名,德,6,0.96043,0.86687,郊庙歌辞。释奠文宣王乐章。雍和,明德惟馨,明德惟馨,,0.96043,4653,44,9.456264775413711,大样本,1.2894906511927788,0.13636363636363635,1.0
雍陶,柳,1,0.790246,0.790246,和孙明府怀旧山,五柳先生本在山,五柳先生,《晉書》：陶潛，字淵明。為彭澤令**：宅邊栽五株柳，自號為「五柳先生」。,0.790246,776,1,1.288659793814433,大样本,1.288659793814433,1.0,1.0
周昙,險固,1,0.815338,0.815338,前汉门。僭号公孙述,方知在德不在险,在德不在險,《史記》魏武侯曰：「美哉山河之固，此乃魏之寶也。」吳起曰：「在德不在險，昔三苗左洞庭，右彭𧋠，德義不修而禹滅之；夏桀之居，左濟河，右太菙，侯闕在其南，羊腸在其北，脩政不仁，而湯放之；殷紂之國，左孟門，右太行，常山在其北，太行經其南，不修德政，武王殺之。由此言之，在德不在險。」武侯曰：「善哉。」,0.815338,780,5,6.41025641025641,大样本,1.2820512820512822,0.2,1.0
周昙,火,1,0.792662,0.792662,春秋战国门。再吟,曲突徙薪不谓贤,曲突徙薪,無恩澤焦頭爛額為上客，漢時，人有上書論徐福先言霍氏也。,0.792662,780,5,6.41025641025641,大样本,1.2820512820512822,0.2,2.0
周昙,土功,1,0.773782,0.773782,隋门。炀帝,兆人疲弊不堪命,人不堪命,,0.773782,780,5,6.41025641025641,大样本,1.2820512820512822,0.2,3.0
周昙,天,1,0.761867,0.761867,春秋战国门。赵简子,不是生知焉得知,焉知,裨灶焉知天道。,0.761867,780,5,6.41025641025641,大样本,1.2820512820512822,0.2,4.0
周昙,鞭扑,1,0.750117,0.750117,三代门。成王,成王有过伯禽笞,撻伯禽。,成王有過，則撻伯禽。,0.750117,780,5,6.41025641025641,大样本,1.2820512820512822,0.2,5.0
耿湋,菊,2,0.752234,0.752234,九日,更望尊中菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.752234,1565,2,1.2779552715654952,大样本,1.2779552715654952,1.0,1.0
王勃,仙,1,0.776838,0.776838,观内怀仙,自能成羽翼,生羽翼,,0.776838,849,2,2.3557126030624262,大样本,1.1778563015312131,0.5,1.0
王勃,恐懼,1,0.769922,0.769922,倬彼我系,忧心忉忉,心之憂矣,,0.769922,849,2,2.3557126030624262,大样本,1.1778563015312131,0.5,2.0
卢仝,美婦人,2,0.876528,0.876528,乐府杂曲。鼓吹曲辞。有所思,美人兮美人,彼美人兮,,0.876528,1740,13,7.471264367816092,大样本,1.1494252873563218,0.15384615384615385,1.0
卢仝,玉,2,0.830086,0.830086,杂曲歌辞。自君之出矣,玉是君之德,玉德,子貢問於孔子曰：「敢問君子貴玉而賤碈者，何也？為玉之寡，而碈之多與？」孔子曰：「非為碈之多，故賤之也。玉之寡，故貴之也。夫昔者，君子比德於玉焉，溫潤而澤仁也。縝密以栗智也，廉而不劌義也，垂之如墜，禮也。叩之其聲清越，以長其終，詘然樂也，瑕不揜瑜，瑜不揜瑕，忠也。孚尹旁達，信也。氣如白虹，天也。精神見于山川，地也。圭璋時達，德也。天下莫不貴者，道也。故君子貴之也。」,0.830086,1740,13,7.471264367816092,大样本,1.1494252873563218,0.15384615384615385,2.0
吕温,宗族,1,0.809515,0.809515,登少陵原望秦中诸川太原王至德妙用有水术因用感叹,吾人得其宗,吾宗,《傳》曰：晉吾宗也。豈害我哉！,0.809515,902,4,4.434589800443459,大样本,1.1086474501108647,0.25,1.0
吕温,酒,1,0.761311,0.761311,河中城南姚家浴后题赠主人,主人有美酒,我有旨酒,君子有酒。,0.761311,902,4,4.434589800443459,大样本,1.1086474501108647,0.25,2.0
吕温,司空,1,0.749976,0.749976,登少陵原望秦中诸川太原王至德妙用有水术因用感叹,大禹平水土,平水土,舜命伯禹作司空帝曰：「咨禹汝平水土，惟時懋哉？」懋，勉也。,0.749976,902,4,4.434589800443459,大样本,1.1086474501108647,0.25,3.0
吕温,賔主,1,0.742798,0.742798,道州酬送何山人之容州,何门不可曳长裾,曳裾王門,鄒陽上書曰：臣飾庸陋，則何王之門，不可曳長裾乎？,0.742798,902,4,4.434589800443459,大样本,1.1086474501108647,0.25,4.0
不详,死,1,0.788483,0.788483,佚句,知其不寿,知命之不長,《傳》。,0.788483,907,7,7.717750826901874,大样本,1.1025358324145536,0.14285714285714285,1.0
不详,寒,1,0.785044,0.785044,佚句,（《苦寒》见《事文类聚》）,苦寒行,魏武《苦寒行》曰：「人馬同時飢，擔囊行取薪，斧冰持作糜。」糜，粥也。,0.785044,907,7,7.717750826901874,大样本,1.1025358324145536,0.14285714285714285,2.0
不详,雲,1,0.781267,0.781267,佚句,闲云生不雨,密雲不雨,,0.781267,907,7,7.717750826901874,大样本,1.1025358324145536,0.14285714285714285,3.0
不详,僧,1,0.76642,0.76642,佚句,见《高僧传》）,長老,高僧。,0.76642,907,7,7.717750826901874,大样本,1.1025358324145536,0.14285714285714285,4.0
不详,鬼神,1,0.757444,0.757444,佚句,应有鬼神看,幽則有鬼神,言可以助天地成化。,0.757444,907,7,7.717750826901874,大样本,1.1025358324145536,0.14285714285714285,5.0
不详,車,1,0.744394,0.744394,佚句,兄弟也沾陪,兄弟也,張骼謂宛射犬曰：「公孫乘兄弟也。」注云：同乘之恩，若兄弟也。,0.744394,907,7,7.717750826901874,大样本,1.1025358324145536,0.14285714285714285,6.0
不详,隠逸,1,0.742595,0.742595,佚句,远方之人,方外之人,,0.742595,907,7,7.717750826901874,大样本,1.1025358324145536,0.14285714285714285,7.0
刘商,桂,1,0.835503,0.835503,乌夜啼（一作乌栖曲）,月中有桂树,月中有仙桂樹一枝,晉郤詵對武帝曰：「臣對策為天下第一，猶桂林一枝也。,0.835503,966,1,1.0351966873706004,大样本,1.0351966873706004,1.0,1.0
曹邺,笑,1,0.910702,0.910702,赵城怀古,一笑千万金,一笑千金,,0.910702,1020,3,2.941176470588235,大样本,0.9803921568627451,0.3333333333333333,1.0
曹邺,門戶,1,0.807235,0.807235,去不返,九重十二门,九重,《楚辭》曰：「君之門兮！九重。,0.807235,1020,3,2.941176470588235,大样本,0.9803921568627451,0.3333333333333333,2.0
曹邺,道教,1,0.7921,0.7921,秦后作,大道不居谦,大道不器,,0.7921,1020,3,2.941176470588235,大样本,0.9803921568627451,0.3333333333333333,3.0
李嘉祐,縣尉,1,0.802906,0.802906,春日长安送从弟尉吴县,好是神仙尉,仙吏,仙尉。,0.802906,1071,1,0.9337068160597572,大样本,0.9337068160597572,1.0,1.0
宋之问,竹,2,0.783447,0.783447,琴曲歌辞。绿竹引,何可一日无此君,此君,何可一日無此君。,0.783447,2213,5,2.2593764121102575,大样本,0.9037505648441031,0.4,1.0
戎昱,笳,1,0.755864,0.755864,听杜山人弹胡笳,更闻出塞入塞声,出塞入塞,胡笳者，張博望入西域，傳其法於西京，唯得《摩訶兜勤》一曲。李延年因胡曲，更造新聲二十八解，以為武樂，有《出塞》、《入塞》、《楊柳》等十曲。,0.755864,1127,2,1.7746228926353151,大样本,0.8873114463176576,0.5,1.0
戎昱,冠弁冕,1,0.751441,0.751441,闰春宴花溪严侍御庄,瓶开巾漉酒,漉酒,陶潛在家，酒熟，取頭上葛巾漉酒。漉畢，還復著之。,0.751441,1127,2,1.7746228926353151,大样本,0.8873114463176576,0.5,2.0
鲍溶,死,2,0.778518,0.76436555,经秦皇墓,死者不复知,死者不可復生,《史》：淳于緹縈上書，請以身贖父之罪。,0.778518,2311,6,2.5962786672436176,大样本,0.8654262224145391,0.3333333333333333,1.0
苏颋,星,1,0.818246,0.818246,饯荆州崔司马,星拱北辰居,拱北辰,《語》：為政以德，譬如北辰。居其所，眾星拱之。,0.818246,1156,4,3.4602076124567476,大样本,0.8650519031141869,0.25,1.0
苏颋,貴,1,0.777248,0.777248,送光禄姚卿还都,九卿朝已入,四至,九卿。,0.777248,1156,4,3.4602076124567476,大样本,0.8650519031141869,0.25,2.0
苏颋,馬,1,0.77529,0.77529,夜宴安乐公主新宅,车如流水马如龙,如龍,《漢書》曰：車如流水馬如龍。,0.77529,1156,4,3.4602076124567476,大样本,0.8650519031141869,0.25,3.0
苏颋,夫婦,1,0.750775,0.750775,奉和姚令公温汤旧馆永怀故人卢公之作,同心不可忘,同心,僶俛同心。,0.750775,1156,4,3.4602076124567476,大样本,0.8650519031141869,0.25,4.0
高適,衣服,3,0.893403,0.824466,奉酬睢阳李太守,衣赠黑貂裘,黑貂裘,《史記》：蘇秦說趙相李兌，兌送以黑貂之裘。,0.893403,3550,17,4.788732394366197,大样本,0.8450704225352114,0.17647058823529413,1.0
独孤及,鳳,1,0.841508,0.841508,送陈兼应辟兼寄高適、贾至,凤凰翔千仞,翔千仞,《文》：鳳皇翔干千仞兮，覽德輝而下之。見細德之險微兮，搖增翮而去。,0.841508,1196,3,2.508361204013378,大样本,0.8361204013377926,0.3333333333333333,1.0
独孤及,逆旅,1,0.778401,0.778401,丙戌岁正月出洛阳书怀,来酬主人恩,主人之恩。,,0.778401,1196,3,2.508361204013378,大样本,0.8361204013377926,0.3333333333333333,2.0
独孤及,戎狄,1,0.74814,0.74814,初晴抱琴登马退山对酒望远醉后作,荒服何所有,要荒之服,,0.74814,1196,3,2.508361204013378,大样本,0.8361204013377926,0.3333333333333333,3.0
顾况,星,2,0.869718,0.8221795,上古之什补亡训传十三章。陵霜之华一章,五星如珠,五星如連珠,,0.869718,2441,18,7.37402703809914,大样本,0.8193363375665711,0.1111111111111111,1.0
顾况,河,2,0.7805,0.7805,山居即事,崦合桃花水,桃花水,《溝洫志》：河決而桃花水漾溢。注云：三月水漲名。,0.7805,2441,18,7.37402703809914,大样本,0.8193363375665711,0.1111111111111111,2.0
吕岩,養生,2,0.840476,0.81027997,谷神歌,谷神不死此中求,谷神不死,,0.840476,2450,7,2.857142857142857,大样本,0.8163265306122449,0.2857142857142857,1.0
韩愈,幕府,1,0.78829,0.78829,晚秋郾城夜会联句,谈笑青油幕,青油幕,,0.78829,1248,1,0.8012820512820512,稳健样本,0.8012820512820512,1.0,1.0
刘得仁,圖籙,1,0.764991,0.764991,赠敬晊助教二首（一作无可诗）,仙籍不知名姓有,仙籍,,0.764991,1268,2,1.5772870662460567,大样本,0.7886435331230284,0.5,1.0
刘得仁,封疆,1,0.751104,0.751104,塞上行作,向此取封侯,諸侯正封,封疆有定分也。,0.751104,1268,2,1.5772870662460567,大样本,0.7886435331230284,0.5,2.0
徐铉,笑,2,0.780688,0.780688,抛球乐辞二首,一笑千场醉,一笑千金,,0.780688,2555,7,2.73972602739726,大样本,0.7827788649706459,0.2857142857142857,1.0
李端,賢,2,0.788044,0.788044,杂曲歌辞。春游乐二首,倡女蒲葵扇,蒲葵扇,謝安風流，時多愛慕故人，罷中宿縣，還有蒲葵扇五萬，安取中者題之，京師慕效，競市價數倍。,0.788044,2589,6,2.317497103128621,大样本,0.772499034376207,0.3333333333333333,1.0
许棠,行人,1,0.803451,0.803451,秋日归旧山,行人不愿看,行人不使。,今兩國治戎行人不使不可謂整,0.803451,1309,2,1.5278838808250572,大样本,0.7639419404125286,0.5,1.0
许棠,言語,1,0.743775,0.743775,宿青山馆,无言有所思,似不能言,,0.743775,1309,2,1.5278838808250572,大样本,0.7639419404125286,0.5,2.0
朱庆馀,刺史,1,0.792311,0.792311,送邵州林使君,州人应为立生祠,立祠,《晉》：祖逖為豫州，行恩德。及卒，人為立祠。,0.792311,1314,2,1.5220700152207,大样本,0.76103500761035,0.5,1.0
朱庆馀,守官,1,0.746144,0.746144,题胡氏溪亭,主人能守静,其靜也專。,,0.746144,1314,2,1.5220700152207,大样本,0.76103500761035,0.5,2.0
吴融,女樂,2,0.91502,0.85582745,李周弹筝歌（淮南韦太尉席上赠）,竹不如肉,竹不如肉,桓溫問孟嘉曰：「聽妓，絲不如竹，竹不如肉，何也？」嘉曰：「漸近自然。,0.91502,2709,5,1.8456995201181248,大样本,0.7382798080472499,0.4,1.0
吴融,松柏,2,0.802992,0.7889895,题画柏,未知陵上柏,青陵上柏,,0.802992,2709,5,1.8456995201181248,大样本,0.7382798080472499,0.4,2.0
司空曙,九月九日,1,0.788508,0.788508,九日送人,值节佩茱萸,佩茱萸,《西京雜記》：武帝宮人賈蘭佩茱萸，食餌飲菊花酒。,0.788508,1361,1,0.7347538574577516,大样本,0.7347538574577516,1.0,1.0
薛能,弔,2,0.744636,0.744636,横吹曲辞。长安道,不相知姓名,不知名,《漢》：龔勝死，有父老弔之，甚哀曰：「膏以明自煎，龔生竟夭天年。人莫知其名也。」,0.744636,2731,4,1.4646649578908824,大样本,0.7323324789454412,0.5,1.0
吴筠,貴,1,0.915111,0.915111,览古十四首,知进不知退,知進而不知退,,0.915111,1398,7,5.007153075822604,大样本,0.7153075822603719,0.14285714285714285,1.0
吴筠,險固,1,0.910235,0.910235,建业怀古,在德不在险,在德不在險,《史記》魏武侯曰：「美哉山河之固，此乃魏之寶也。」吳起曰：「在德不在險，昔三苗左洞庭，右彭𧋠，德義不修而禹滅之；夏桀之居，左濟河，右太菙，侯闕在其南，羊腸在其北，脩政不仁，而湯放之；殷紂之國，左孟門，右太行，常山在其北，太行經其南，不修德政，武王殺之。由此言之，在德不在險。」武侯曰：「善哉。」,0.910235,1398,7,5.007153075822604,大样本,0.7153075822603719,0.14285714285714285,2.0
吴筠,讓功,1,0.834573,0.834573,高士咏。臧丈人,功成遂不处,功成不居,,0.834573,1398,7,5.007153075822604,大样本,0.7153075822603719,0.14285714285714285,3.0
吴筠,藩籬,1,0.764036,0.764036,览古十四首,焉得游其藩,游藩,《莊子》曰：「願游其藩。藩籬之鷃。」,0.764036,1398,7,5.007153075822604,大样本,0.7153075822603719,0.14285714285714285,4.0
吴筠,性情,1,0.762678,0.762678,翰林院望终南山,物情不可易,性不可易,《老子》曰：「性不可逸命不可變，時不可止。」,0.762678,1398,7,5.007153075822604,大样本,0.7153075822603719,0.14285714285714285,5.0
吴筠,席,1,0.757891,0.757891,览古十四首,孔席不暇暖,不煖,孔席不煖。,0.757891,1398,7,5.007153075822604,大样本,0.7153075822603719,0.14285714285714285,6.0
吴筠,貧,1,0.751988,0.751988,高士咏。郑子真张仲蔚,仲蔚蓬蒿居,蓬蒿,張仲蔚所居，蓬蒿沒人。,0.751988,1398,7,5.007153075822604,大样本,0.7153075822603719,0.14285714285714285,7.0
李德裕,石,1,0.783899,0.783899,重忆山居六首。巫山石,此中多怪石,怪石,《禹貢》曰：「鈆松，怪石。」注：怪異好貌。,0.783899,1419,4,2.8188865398167726,大样本,0.7047216349541932,0.25,2.0
李德裕,山,1,0.74743,0.74743,题罗浮石（刻于石上）,名山何必去,名山,《史》：天下名山，八山在夷，五在中國。華山，首陽山，太室山，少室山，東太山，此五山黃帝之常遊。,0.74743,1419,4,2.8188865398167726,大样本,0.7047216349541932,0.25,3.0
马戴,燈燭,1,0.760268,0.760268,夕发邠宁寄从弟（一作寄舒从事）,入夜不能息,三夜不息,《禮記》：嫁女之家，三夜不息，燭思相離也。,0.760268,1434,1,0.6973500697350069,大样本,0.6973500697350069,1.0,1.0
卢照邻,御史,1,0.84867,0.84867,咏史四首,一为侍御史,柱下史,侍御史。,0.84867,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,2.0
卢照邻,師,1,0.781675,0.781675,赤谷安禅师塔,从吾所好云,從吾所好,既多知十之賢**：博我以文，必重在三之義。,0.781675,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,3.0
卢照邻,智,1,0.780294,0.780294,赠益府群官,智者不我邀,智者,不失人。《語》。,0.780294,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,4.0
卢照邻,叛亂,1,0.774808,0.774808,咏史四首,天子不得臣,臣而不臣,,0.774808,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,5.0
卢照邻,德,1,0.774157,0.774157,中和乐九章。歌诸王第七,我有明德,德明惟明,,0.774157,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,6.0
卢照邻,笑,1,0.770515,0.770515,十五夜观灯,别有千金笑,一笑千金,,0.770515,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,7.0
卢照邻,寛不按吏,1,0.750847,0.750847,咏史四首,三公不敢吏,三公府不按吏。,丙吉為丞相，令三公府不按吏，後遂為常,0.750847,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,8.0
卢照邻,食,1,0.750569,0.750569,咏史四首,所食常不充,不飽,《詩》曰：今也每食無餘。每食不飽。,0.750569,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,9.0
卢照邻,賢,1,0.74863,0.74863,咏史四首,重价折角巾,折角巾,郭林宗行，遇雨，巾一角墊士，人故折其巾角以效之。,0.74863,1445,11,7.612456747404845,大样本,0.6920415224913494,0.09090909090909091,10.0
陈子昂,死,1,0.759039,0.759039,蓟丘览古赠卢居士藏用七首。田光先生,自古皆有死,死生有命,,0.759039,1457,1,0.6863417982155113,大样本,0.6863417982155113,1.0,1.0
元结,倉廩,1,0.798462,0.798462,二风诗。治风诗五篇。至劳,不盈不延,不盈,《管子》曰：「不務地利，則倉不盈。」,0.798462,1486,12,8.075370121130552,大样本,0.6729475100942126,0.08333333333333333,3.0
元结,相思,1,0.791712,0.791712,二风诗。乱风诗五篇。至惑,如何不思,如之何勿思,,0.791712,1486,12,8.075370121130552,大样本,0.6729475100942126,0.08333333333333333,4.0
元结,儉,1,0.784333,0.784333,二风诗。乱风诗五篇。至虐,可以化人,化人,毛玠，字孝先。居顯位，常布衣蔬食，以儉率人由是天下莫不以廉節自勵，雖貴寵，輿服不敢過度，太祖歎之。又許劭子將為郡功曹人，皆改操飾行，袁紹豪俠，罷濮陽令，車徒甚盛入境，豈可使子將見耶？遂乘車歸家。,0.784333,1486,12,8.075370121130552,大样本,0.6729475100942126,0.08333333333333333,5.0
元结,冨,1,0.759774,0.759774,二风诗。乱风诗五篇。至荒,而不亡其国,不亡,《傳》曰：冨而不驕，驕而不亡，未之有也。,0.759774,1486,12,8.075370121130552,大样本,0.6729475100942126,0.08333333333333333,6.0
元结,言語,1,0.751851,0.751851,演兴四首。闵岭中,岂言之而已乎,天何言哉,子曰予欲無言。,0.751851,1486,12,8.075370121130552,大样本,0.6729475100942126,0.08333333333333333,7.0
元结,讓功,1,0.748602,0.748602,二风诗。治风诗五篇。至慈,而不知其功,無功而受名，臣不敢以為,,0.748602,1486,12,8.075370121130552,大样本,0.6729475100942126,0.08333333333333333,8.0
元结,疾,1,0.74505,0.74505,二风诗。乱风诗五篇。至伤,不可救乎,不可救療,《傳》。,0.74505,1486,12,8.075370121130552,大样本,0.6729475100942126,0.08333333333333333,9.0
李贺,疑獄,2,0.769384,0.769384,相和歌辞。猛虎行,吏不敢听,吏不能決,高詔御史獄之疑者，吏不能決，使有罪者久而不論，無罪者久繫而不決，自今縣道官獄疑者，各讞屬所二千石官。二千石官以罪名當報之。注當處也。某所不能決者，移廷尉，廷尉亦報之。廷尉不能決者具奏。,0.769384,2987,5,1.6739203213927016,大样本,0.6695681285570807,0.4,1.0
韩翃,囊橐,1,0.797826,0.797826,家兄自山南罢归献诗叙事,唯奉一囊钱,一囊錢,後漢《趙壹詩》曰：「文籍徒滿腹，不如一囊錢。」,0.797826,1534,6,3.911342894393742,大样本,0.651890482398957,0.16666666666666666,1.0
韩翃,衣服,1,0.785726,0.785726,赠王逖,暂试黑貂裘,黑貂裘,《史記》：蘇秦說趙相李兌，兌送以黑貂之裘。,0.785726,1534,6,3.911342894393742,大样本,0.651890482398957,0.16666666666666666,2.0
韩翃,三月三,1,0.768151,0.768151,送南少府归寿春,若在八公山,八公山,宋武帝三月三日，登八公山。劉安故臺曰：「城郭如匹帛之，繞叢花也。」,0.768151,1534,6,3.911342894393742,大样本,0.651890482398957,0.16666666666666666,3.0
韩翃,賢,1,0.766956,0.766956,别李明府,待君障日蒲葵扇,蒲葵扇,謝安風流，時多愛慕故人，罷中宿縣，還有蒲葵扇五萬，安取中者題之，京師慕效，競市價數倍。,0.766956,1534,6,3.911342894393742,大样本,0.651890482398957,0.16666666666666666,4.0
韩翃,裘,1,0.751873,0.751873,送崔秀才赴上元兼省叔父,重裘千里道,重裘,諺曰：「救寒莫若重裘。」,0.751873,1534,6,3.911342894393742,大样本,0.651890482398957,0.16666666666666666,5.0
韩翃,東京,1,0.74478,0.74478,陪孟都督祭岳途中有赠,封疆七百里,封畿千里,,0.74478,1534,6,3.911342894393742,大样本,0.651890482398957,0.16666666666666666,6.0
武元衡,星,1,0.841132,0.841132,德宗皇帝挽歌词三首,星拱北辰箓,拱北辰,《語》：為政以德，譬如北辰。居其所，眾星拱之。,0.841132,1544,2,1.2953367875647668,大样本,0.6476683937823834,0.5,1.0
武元衡,祭祀,1,0.832958,0.832958,德宗皇帝挽歌词三首,为人祈福处,為人祈福,,0.832958,1544,2,1.2953367875647668,大样本,0.6476683937823834,0.5,2.0
佚名,祭祀,3,0.972149,0.878938,明皇祀圜丘乐章。舒和,祀事孔明,祀事孔明,,0.972149,4653,44,9.456264775413711,大样本,0.6447453255963894,0.06818181818181818,2.0
唐彦谦,華山,1,0.868949,0.868949,望岳时贼据华夏,削成绝壁五千仞,削成五千仞,《山海經》：「華山削成而四方，高五千仞，其廣千里。」,0.868949,1578,2,1.2674271229404308,大样本,0.6337135614702154,0.5,1.0
唐彦谦,性情,1,0.797548,0.797548,和陶渊明贫士诗七首,人生各有志,人各有心,,0.797548,1578,2,1.2674271229404308,大样本,0.6337135614702154,0.5,2.0
李绅,信,1,0.74255,0.74255,趋翰苑遭诬构四十六韵,尧门信未孚,小信未孚,,0.74255,1626,1,0.6150061500615006,大样本,0.6150061500615006,1.0,1.0
李益,山,1,0.754351,0.754351,从军夜次六胡北饮马磨剑石为祝殇辞,尔独不可以久留,不可久留,《離騷》：山中不可久留。,0.754351,1635,1,0.6116207951070336,大样本,0.6116207951070336,1.0,1.0
陈陶,智,1,0.781996,0.781996,续古二十九首,智不及鶢鶋,智不足稱,陽處父不役其身，其智不足稱。,0.781996,1637,2,1.2217470983506415,大样本,0.6108735491753208,0.5,1.0
陈陶,酒,1,0.750422,0.750422,悲哉行,服之一千日,千日,中山有酒飲者，一醉千日。玄石飲之，一千日乃醒。,0.750422,1637,2,1.2217470983506415,大样本,0.6108735491753208,0.5,2.0
李频,徒役,1,0.759428,0.759428,蜀中逢友人,自古有行役,役。諸司空,周禮凡萬人有罪者桎梏而坐諸嘉石役諸司空重罪旬有三日坐朞月役則宥而赦之注云役者使給百工之役者也,0.759428,1676,1,0.5966587112171838,大样本,0.5966587112171838,1.0,1.0
