作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度,total_line_count,line_p90_count,句级p90互文密度_每千句,样本规模标记,部类高值密度_每千句,部类占诗人高值比例,诗人内部类高值排名
常理,裘,2,0.775562,0.775562,杂曲歌辞。古离别,君御狐白裘,狐白,秦囚孟嘗君，君說幸姬求解。姬曰：願得君狐白裘，直千金，以獻昭王矣。有客能狗盜，入秦宮藏內，盜得狐白裘，獻之，遂得歸齊矣。,0.775562,38,2,52.63157894736842,小样本,52.63157894736842,1.0,1.0
张衮,黍稷,2,0.977369,0.977369,郊庙歌辞。梁郊祀乐章。庆肃,黍稷非馨,黍稷非馨,,0.977369,40,4,100.0,小样本,50.0,0.5,1.0
张衮,籩豆,2,0.809712,0.809712,郊庙歌辞。梁郊祀乐章。庆肃,笾豆簠簋,籩豆有踐,並《詩》。,0.809712,40,4,100.0,小样本,50.0,0.5,2.0
刘行敏,宴,1,0.864419,0.864419,又嘲杨文瓘,终宴不知疲,終宴不知疲,《文選》。,0.864419,20,1,50.0,小样本,50.0,1.0,1.0
崔禹锡,封疆,1,0.801294,0.801294,奉和圣制送张说巡边,兼以正封疆,諸侯正封,封疆有定分也。,0.801294,20,1,50.0,小样本,50.0,1.0,1.0
郭密之,仙,1,0.77345,0.77345,永嘉经谢公石门山作,忽如生羽翼,生羽翼,,0.77345,20,1,50.0,小样本,50.0,1.0,1.0
柳曾,忠,1,0.756424,0.756424,险竿行,忠臣不爱家,事君不忠,非孝也。,0.756424,20,1,50.0,小样本,50.0,1.0,1.0
长孙无忌,衾,1,0.745414,0.745414,新曲二首,翡翠珠被烂齐光,翡翠珠被,爛齊光**：《楚詞》。,0.745414,20,1,50.0,小样本,50.0,1.0,1.0
杨凝式,冰,1,0.79549,0.79549,雪晴,春来冰未泮,未泮,迨冰未泮。,0.79549,22,1,45.45454545454545,小样本,45.45454545454545,1.0,1.0
崔璐,儒教,1,0.766816,0.766816,览皮先辈盛制，因作十韵以寄，用伸款仰,仍兼君子儒,君子之儒,子謂子夏，曰：「汝為君子儒，無為小人儒。,0.766816,22,1,45.45454545454545,小样本,45.45454545454545,1.0,1.0
赵光逢,祭星,2,0.869655,0.869655,郊庙歌辞。梁郊祀乐章。庆和,禋于六宗,禋于六宗,孔安國曰：四時也。寒暑也，日也，月也，星辰也，水旱也。,0.869655,48,4,83.33333333333333,小样本,41.666666666666664,0.5,1.0
张濯,星,1,0.763397,0.763397,迎春东郊,回环拱北辰,拱北辰,《語》：為政以德，譬如北辰。居其所，眾星拱之。,0.763397,24,1,41.666666666666664,小样本,41.666666666666664,1.0,1.0
刘绮庄,河,1,0.762506,0.762506,扬州送人,枫江竹箭流,竹箭流,《慎子》曰：「河下龍門流駛，竹箭駟馬追之，不及。,0.762506,24,1,41.666666666666664,小样本,41.666666666666664,1.0,1.0
李沛,海,1,0.75696,0.75696,海水不扬波,能安百谷王,百谷王,,0.75696,24,1,41.666666666666664,小样本,41.666666666666664,1.0,1.0
鲁收,鬼神,1,0.750478,0.750478,怀素上人草书歌,信知鬼神助此道,幽則有鬼神,言可以助天地成化。,0.750478,24,1,41.666666666666664,小样本,41.666666666666664,1.0,1.0
于邵,鬼神,1,0.9508,0.9508,释奠武成王乐章。迎神,感而遂通,感而遂通,,0.9508,28,1,35.714285714285715,小样本,35.714285714285715,1.0,1.0
豆卢回,乳母,1,0.759295,0.759295,登乐游原怀古,虽在襁褓中,襁褓三月,,0.759295,30,1,33.333333333333336,小样本,33.333333333333336,1.0,1.0
崔翘,書,1,0.812034,0.812034,奉和圣制答张说南出雀鼠谷,日月照天文,天文,日月之文。,0.812034,32,1,31.25,小样本,31.25,1.0,1.0
刘太真,相思,1,0.79526,0.79526,顾十二况左迁过韦苏州房杭州韦睦州…以继三君子之风焉,远思不可收,我思不遠,,0.79526,32,1,31.25,小样本,31.25,1.0,1.0
卿云,降,1,0.764269,0.764269,送人游塞,应到受降城,漢築受降城。,,0.764269,32,1,31.25,小样本,31.25,1.0,1.0
张柬之,美婦人,2,0.759752,0.759752,相和歌辞。大堤曲,南国多佳人,南國,曹植詩云：南國有佳人，容華若桃李。,0.759752,66,2,30.303030303030305,小样本,30.303030303030305,1.0,1.0
莫宣卿,井,1,0.821402,0.821402,答问读书居,井汲冽寒泉,冽井,井冽寒泉。,0.821402,34,1,29.41176470588235,小样本,29.41176470588235,1.0,1.0
王烈,言語,1,0.755962,0.755962,行路难,言者不得回,似不能言,,0.755962,34,1,29.41176470588235,小样本,29.41176470588235,1.0,1.0
孙思邈,死,1,0.909358,0.909358,四言诗,宛其死矣,宛其死矣,《詩》。,0.909358,38,1,26.31578947368421,小样本,26.31578947368421,1.0,1.0
